Model no.	Breast cancer type	Disease area	Disease features	Category	Type	Cells	Source	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance	DOI or link	First author name	Year
324	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MCF7	Culture	3D	Scaffolds	n/a	Model/method develop.(exp.)	VEGF, IL-8, bFGF, migration, invasion	Low	Yes	Direct	10.1016/j.carbpol.2019.01.115	Suo, Aili	2019
325	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	DA-MB-231 , Hs578t, SUM159 cells , MCF7, adipocites	Co-culture	3D	Spheroids	n/a	Model/method develop.(exp.)	migration, EMT	Low	Yes	Direct	10.1007/s10911-018-9420-4	Pallegar, Nikitha K.	2018
326	BC	BC	Metastasis	In silico	Computational	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(theor.)	invasion	Low	Yes	n/a	10.1016/j.cnsns.2016.10.013	Ganesan, Sashikumaar	2017
327	BC	BC	Tumor Detection and Classification	In silico	Computational	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(exp.)	Genomic Copy Number Alterations	High	Yes	n/a	10.1155/2016/5237827	Li, Xiao-Chen	2016
328	BC	BC	Pharmacological/Physical Treatment	In vitro/In silico	Cells/Mathematical	Immortalised cells	MCF7, MCF10A, MDA-MB-231, MDA-MB-361	Culture	2D/3D	Spheroids	n/a	Drug develop./testing; Model/method develop. (theor.); Model/method qualification	morphology, cytotoxicity	Low	Yes	Supportive	10.1371/journal.pone.0134999	Geltmeier, Annette	2015
329	BC	BC	Pharmacological/Physical Treatment	In silico	Algorithms	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(exp.)	Signaling network	Low	Yes	Direct	10.1093/bioinformatics/btu382	Zhu, Fan	2014
330	BC	BC	Tumor Detection and Classification	In silico	Computational	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(exp./theor.)	morphology	Low	Yes	Direct	10.1126/scitranslmed.3009850	Greenbaum, Alon	2014
332	BC	BC	Cancer stem cells	In vitro	Cells	Immortalised cells/Stem-cell like	MDA-MB-231	Culture	3D	Scaffolds/Spheroids	n/a	Model/method qualification	morphology, CD133, NANOG	Low	Yes	Direct	10.1039/c6tb01713d	Florczyk, Stephen J.	2016
333	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	invasion, morphology, Cbl-b, E-Cadherin, Vimentin, ZEB1, ZEB2, SLUG, SNAIL, TWIST1, TWIST2, EGFR pathway, ERK, AKT, EMT	Low	Yes	Supportive	10.1016/j.neo.2017.01.011	Xu, Ling	2017
334	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, BT474 , SKBR3, MCF10A	Culture	2D/2.5D	n/a	n/a	Disease mechanism (exp./theor.)	βig-h3, viability, cytotoxicity, migration, invasion PI3K/AKT pathway 	Medium	Yes	Supportive	10.3892/etm.2018.5786	Zhang, Jiaxin	2018
335	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	HCC1428 , T-47D	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.1007/s10616-018-0249-x	Varol, Mehmet	2018
336	BC	BC	Pharmacological/Physical Treatment	In silico	Computational	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(theor.)	Intra-tumor heterogeneity, morphology	Low	Yes	Direct	10.1038/s41467-019-08593-4	Caswell-Jin, Jennifer L.	2019
337	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	SKBR3, MDA-MB-468, 293A	Culture	2D	n/a	n/a	Drug develop./testing	Proteomic profiling, Cy5.5-P51, Cy5.5-P25, cytotoxicity	Low	Yes	Supportive	10.7150/thno.14302	Geng, Lingling	2016
338	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	OCT4, invasion, viability	Low	Yes	Supportive	10.1371/journal.pone.0174912	Goehring, Axel R.	2017
340	BC	BC	Pharmacological/Physical Treatment; Microenvironment	In vitro	Cells	Immortalised cells	MDA-MB-231	MPS	3D	Spheroids	n/a	Disease mechanism (exp./theor.); Model/method develop. (exp.)	α-SMA and Snail, VE-cadherin, viability	Low	Yes	Direct	10.1063/1.4991738	Mina, Sara G.	2017
341	BC	BC	Cancer stem cells	In vitro	Cells	Immortalised cells/Stem-cell like	AS-B145-1R	Culture	3D	Spheroids	n/a	Drug develop./testing	morphology, colony formation, fluorescent nanodiamonds uptake	Low	Yes	n/a	10.1002/smll.201500878	Lin, Hsin-Hung	2015
343	BC	BC	Cancer Initiation and Development	In vitro	Ex vivo	n/a	BC	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.)	IL-8, integrin β3, cell invasion, PI3K/Akt/NF-κB pathway, ER, invasion	Low	Yes	Supportive	10.1016/j.canlet.2015.05.009	Shao, Nan	2015
344	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	SKBR‐3 and BT474	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	cytotoxicity, Nrf2 signaling pathway, H3K27, Long non‐coding RNA SNHG14, PABPC1	Low	Yes	Supportive	10.1111/jcmm.13758	Dong, Huaying	2018
345	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells/Stem-cell like	CK5Pro-GFP-T47D	Culture	3D	Spheroids	n/a	Model/method develop.(exp.)	Cytokeratin 5, cytotoxicity	Low	Yes	Supportive	10.2174/2213988501408010027	Reid, Brian G	2014
346	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MCF7	Co-culture	3D	Scaffolds	n/a	Model/method develop.(exp.)	proliferation, migration, EMT	Low	Yes	Direct	10.1002/jcp.26782	Jin, Qin	2019
347	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF10A , MDA-MB-231	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	EcSOD, stellate colony formation	Low	Yes	Supportive	10.1038/onc.2012.582	Teoh-Fitzgerald, M. L.	2014
348	BC	BC	Pharmacological/Physical Treatment	In vitro	Ex vivo	n/a	BC	n/a	n/a	n/a	Organ slice	Disease mechanism (exp./theor.)	Ki67, DNA damage, cleaved CASPASE 3, p2, p53, MADM2, survivin, viability, cytotoxicity	Low	Yes	Supportive	10.1186/bcr3666	Faversani, Alice	2014
350	BC	BC	Pharmacological/Physical Treatment	In vitro/In silico	Cells/Computational	Immortalised cells	MDA-MB-231 SA	Culture	3D	Spheroids	n/a	Model/method develop.(exp.)	morphology	Medium	Yes	Direct	10.1371/journal.pone.0096426	Harma, Ville	2014
351	BC	BC	Cancer Initiation and Development	In vitro	Cells/Cell free	Immortalised cells	M1-M4MCF10A	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	Long noncoding RNAs expression, PDCD4, viability, migration	Low	Yes	Direct	10.1371/journal.pgen.1007802	Jadaliha, Mahdieh	2018
352	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF10A	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	morphology, Mineralized particles intensity	Low	Yes	Supportive	10.1016/j.biomaterials.2018.06.030	Vidavsky, Netta	2018
354	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MCF10a	Culture	2D/3D	Scaffolds	n/a	Disease mechanism (exp./theor.)	cell traction force, FAs signaling and cell contractility	Low	Yes	Supportive	10.1016/j.jbiomech.2015.10.003	Bordeleau, Francois	2016
355	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	BT474 , MCF7/ADM	Culture	2D	n/a	n/a	Drug develop./testing	invasion, viability, MED23, HER2	Low	Yes	Direct	10.3892/ol.2017.6036	Lin, Benrui	2017
356	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	SKBR3	Culture	2D/3D	Scaffolds/Spheroids	n/a	Disease mechanism (exp./theor.)	invasion, cell migration, EMT	Low	Yes	Direct	10.1021/acsami.6b15187	Zhao, Yu-fang	2017
357	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2D/3D	Spheroids	n/a	Drug develop./testing	cytotoxicity, p53, DRAM-1	Low	Yes	Supportive	10.1038/onc.2014.461	Gomes, L. R.	2015
358	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF10A1 , MCF10CA1a	Culture	2D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	p53, TGF-β3, EPHB2, TGF-β, invasion,EPHB2, EMT	Low	Yes	Direct	10.1007/s10549-014-3147-8	Lam, Suzanne	2014
359	BC	BC	Cancer Initiation and Development	In vitro	Ex vivo	n/a	BC	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.)	Intratumor cholesteryl ester (CE), triglyceride (TG) and free cholesterol content (FC), Ki67, LDLR, SCARB1, CD36, ACAT1, 	Low	Yes	Direct	10.1186/s12885-015-1469-5	de Gonzalo-Calvo, David	2015
360	BC	BC/DCIS	Cancer Initiation and Development	In vitro	Cells/Ex vivo	Immortalised cells	MDA-MB-231	Culture	2D	n/a	Biopsies	Disease mechanism (exp./theor.)	TIAM1	Medium	Yes	Supportive	10.1186/s12885-016-2724-0	Li, Zhenling	2016
362	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	21T series	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	miRNA profiling miR-205-5p, invasion	Low	Yes	Direct	10.1371/journal.pone.0173756	Stankevicins, L.	2017
363	BC	IDC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	COL5A1, PR, viability, migration, invasion, TGF-β signaling	Low	Yes	Supportive	10.3892/ijo.2018.4317	Ren, Weimin	2018
366	BC	BC	Pharmacological/Physical Treatment	In vitro/In silico	Cells/Mathematical	Immortalised cells	MDA-MB-231	Culture	2D	n/a	n/a	Model/method develop.(theor.)	ROS, cytotoxicity	Low	Yes	Direct	10.1038/srep27439	Molavian, Hamid R.	2016
367	BC	BC	Pharmacological/Physical Treatment	In vitro/In silico	Cells/Mathematical	Immortalised cells	T47D	Culture	2D	n/a	n/a	Drug develop./testing	c-MYC, viability	Medium	Yes	Supportive	10.1021/acsomega.6b00531	Bhat, Jyotsna	2017
368	BC	BC	Cancer Initiation and Development	In vitro/In silico	Cells/Computational/Ex vivo	Immortalised cells	A549, HCT116, MDA‐MB468, T‐47D, ZR‐75‐1, HS‐578 T, MCF‐7, MDA‐MB231, SKBR3, BT474, MDA‐MB453	Culture	2D	n/a	Biopsies	Disease mechanism (exp./theor.)	LINE1‐MET	Low	Yes	Supportive	10.1002/ijc.31831	Miglio, Umberto	2018
369	BC	BC	Pharmacological/Physical Treatment	In vitro/In silico	Cells/Simulation	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Supportive	10.1111/cbdd.13322	Viswanath, Ambily Nath Indu	2018
371	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF10, MDA-MB-231	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.1039/c5cc02756j	Edwards, Stacey L.	2015
372	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7 , MDA-MB-231	Culture/MPS	3D	Scaffolds	n/a	Model/method develop.(exp.)	morphology, drug penetration, cytotoxicity, eIF3A, 14–3-3σ, CD44	Low	Yes	Direct	10.1016/j.jconrel.2017.09.024	Ozcelikkale, Altug	2017
376	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7 , MDA-MB-231	Culture	2D/3D	Spheroids	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Supportive	10.1016/j.actbio.2015.12.020	Lu, Hongxu	2016
377	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	T47D	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.1071/CH16430	Alhalili, Zahrah	2016
378	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231, A549, A375	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	invasion, proliferation, GM-CSF	Low	Yes	Supportive	10.1016/j.celrep.2014.06.011	Vilalta, Marta	2014
379	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231, SK-BR-3, MDA-MB-468	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Supportive	10.1007/s11030-015-9645-8	Anantaraju, Hasitha Shilpa	2016
380	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7 , MDA-MB-231	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	migration, invasion, miRNA-200b, Ezrin, Radixin, Moesin	Low	Yes	Supportive	10.12659/MSM.896551	Hong, Hong	2016
381	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231 , MDA-MB-436	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	Long non‑coding RNA HOXA11‑AS, proliferation, invasion	Low	Yes	Supportive	10.3892/mmr.2017.7163	Su, Jian-Chun	2017
382	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Supportive	10.3390/ijms19113692	Schexnayder, Chandler	2018
384	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-134 , MDA-MB-453	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	BCAR4, cytotoxicity	Medium	Yes	Direct	10.1371/journal.pone.0136845	van Agthoven, Ton	2015
385	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	TROP-2, AKT, morphology	Medium	Yes	Supportive	10.1158/1078-0432.CCR-15-1701	Guerra, Emanuela	2016
386	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	SUM44	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.); Model/method qualification	cell proliferation, WHSC1L1, MYCN, ESR1, CXCR4, ID2, RET, MYB, CD24, ALDH2, ERBB3, ERBB4, ER-alpha	Low	Yes	Supportive	10.1016/j.molonc.2016.02.003	Irish, Jonathan C.	2016
389	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	LCC9	Culture	2D/3D	Organoids	n/a	Disease mechanism (exp./theor.)	Long Non-Coding RNA H19, cytotoxicity, NOTCH4, c-MET, H19, dTOM	Low	Yes	Supportive	10.1159/000495643	Basak, Pratima	2018
390	BC	BC	Pharmacological/Physical Treatment	In vitro/In silico	Cells/Computational	Immortalised cells	MDA-MB-231	Culture	2D	n/a	n/a	Model/method develop.(exp./theor.)	Gold Nanoparticles uptake	Low	n/a	n/a	10.1667/RR15134.1	Sung, Wonmo	2018
391	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells/Primary cell culture	MCF7 , MDA-MB-231, BC	Culture	3D	Spheroids	n/a	Drug develop./testing	YM155, autophage, DNA repair, morphology	Low	Yes	Supportive	10.18632/oncotarget.3638	Vequaud, Eloise	2015
392	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF10A, MCF7, HCC1954, HCC1428, MDA-MB-468, MDA-MB-231, BT549 , Hs578T	Culture	2.5D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	HOXC8, homeobox genes, CD44, CD24, cytotoxicity, morphology	High	Yes	Supportive	10.1186/s12943-017-0605-z	Shah, Mansi	2017
394	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7 , MDA-MB-231	Culture	3D	Spheroids	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.1186/s12885-017-3953-6	Lovitt, Carrie J.	2018
395	IBC	IBC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	SUM149 , SUM190	Culture	2D	n/a	n/a	Disease therapy develop.	morphology, nanoparticle penetration, proliferation, viability	Low	No	Supportive	10.2147/IJN.S141164	Crawford, Bridget M.	2017
397	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	Hs578T	Culture	2D	n/a	n/a	Disease therapy develop.; Drug develop./testing	cytotoxicity, genome-wide RNA profile	Low	Yes	Direct	10.1371/journal.pone.0120936	Braicu, Cornelia	2015
401	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7 , MDA-MB-231	Culture	2.5D	n/a	n/a	Drug develop./testing	cytotoxicity	Medium	Yes	Direct	10.1371/journal.pone.0105244	Abu, Nadiah	2014
402	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7 , MDA-MB-231	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	neprilysin, invasion, NEP, ERK, MAPKAPK2, correlation with clinical outcome	Low	Yes	Supportive	10.1038/oncsis.2016.16	Stephen, H. M.	2016
404	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	21T, 21PT, 21NT, 212Mt-1	Culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	TBX3, morphology, invasion, migration, EMT	Low	Yes	Direct	10.1186/s12885-016-2697-z	Krstic, Milica	2016
406	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	2.5D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.1007/s10811-018-1422-5	Lezcano, V.	2018
407	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231 , SUM149	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.); Model/method develop. (exp.)	PD-L1, cytotoxicity	Low	Yes	Supportive	10.1021/acs.bioconjchem.6b00348	Lesniak, Wojciech G.	2016
408	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7 , MDA-MB-231	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Supportive	10.1021/acs.inorgchem.8b01270	Lenis-Rojas, Oscar A.	2018
409	BC	BC	Tumor Detection and Classification	In silico	Computational	n/a	n/a	n/a	n/a	n/a	n/a	Disease mechanism (exp./theor.)	genome wide DNA profiling	Low	n/a	n/a	10.1186/S13015-016-0073-9	Lu, S.	2016
410	BC	BC	Tumor Detection and Classification	In silico	Computational	n/a	n/a	n/a	n/a	n/a	n/a	Diagnosis of disease; Model/method develop. (exp.)	breast cancer mass morphology	Low	n/a	n/a	10.1007/978-3-319-02931-3_14	Dheeba, V.	2014
411	BC	BC	Cancer Initiation and Development	In silico	Computational	n/a	MCF7	n/a	n/a	n/a	n/a	Disease mechanism (exp./theor.)	miRNA-mRNA profile	Low	Yes	n/a	10.1186/gb-2014-15-1-r9	Farazi, Thalia A.	2014
413	BC	BC	Tumor Detection and Classification	In silico	Computational/Simulation	n/a	n/a	n/a	n/a	n/a	n/a	Diagnosis of disease	cytoskeleton degradation rate	Low	Yes	n/a	10.1016/j.jmbbm.2017.05.030	Katti, Dinesh R.	2017
415	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells/Primary cell culture	MCF7 , MDA-MB-231	Co-culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	genome-wide RNA profile, CXCL12, migration	Low	Yes	Supportive	10.1002/ijc.28960	Wobus, Manja	2015
416	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-361, MCF7, SKBr3	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	HER2, HER3, ERBB3, NRG1, HER4, AKT, ERK, ICAM-1, proliferation, invasion, migration	Medium	Yes	Direct	10.18632/oncotarget.2846	Momeny, Majid	2015
417	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cell free	n/a	ZR-75-1	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.)	genome-wide protein profile	Low	Yes	Direct	10.1021/pr500727h	Groessl, Michael	2014
418	BC	BC	Cancer Initiation and Development	In vitro	Ex vivo	n/a	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.)	ER, HER2, morphology	High	Yes	Direct	10.1002/1878-0261.12375	Rye, Inga H.	2018
419	BC	BC	Tumor Detection and Classification	In silico	Algorithms	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(exp.)	sensitivity, specificity	Low	Yes	n/a	10.1007/s10278-014-9757-1	Wu, Wen-Jie	2015
421	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231, HCC1395, Hs578T, MCF7 , T47D	Culture	2D	n/a	n/a	Drug develop./testing	TPH, 5-HT7 receptor, viability, invasion cAMP, VEGF, cytotoxicity	Medium	Yes	Supportive	10.1186/s12943-016-0559-6	Gautam, Jaya	2016
422	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MECs, MCF7, MDA-MB-231, SUM159	Culture	3D	Organoids	n/a	Disease mechanism (exp./theor.)	MMP8, cell-adhesion, migration, integrin α6β4, MMP9, TGF-β signaling	Low	Yes	Direct	10.1186/s13058-017-0822-9	Sarper, Muge	2017
423	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231, HCC38, MDA-MB-157 , MDAMB-468	Culture	2D	n/a	n/a	Drug develop./testing	Wnt/β-catenin signaling, cytotoxicity, EMT	Low	Yes	Direct	10.1371/journal.pone.0189864	Fatima, Iram	2017
424	BC	BC	Cancer Initiation and Development	In vitro	Ex vivo	n/a	BC	n/a	2D	n/a	Organ slice	Model/method develop.(exp.)	HER2, nanoparticle penetration, cytotoxicity	Low	Yes	Direct	10.1186/s12885-018-5172-1	Hicks, David G.	2018
428	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	21PT, 21MT-2	Culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.); Model/method qualification	viability, SNAIL, SLUG, VIMENTIN, E-Cadherin, TWIST, LOx and LOX-like enzymes, migration, EMT	Low	Yes	Direct	10.18632/oncotarget.25891	Wang, Ying	2018
429	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	HBTAEC, MDA-MB-231 , MCF7	Co-culture	3D	Spheroids	n/a	Drug develop./testing	morphology, small dye penetration, VE-Cadherin, F-actin, ZO-1	Low	Yes	Direct	10.1038/s41598-017-09815-9	Tang, Yuan	2017
430	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	SUM1315 , MDA-MB-231	Culture	2D/3D	Spheroids	n/a	Drug develop./testing	Extracellular matrix protein concentration, morphology,  viability	Low	Yes	Direct	10.18632/oncotarget.20517	Dubois, Clemence	2017
431	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	BT474, HCC1954, EFM192A	Culture	2D/3D	Organoids	n/a	Drug develop./testing	viability, pAkt, Akt, pErk,Erk, EGFR, pEGFR, HER2, pHER2, HER3, HER4, CYP34A	Low	Yes	Direct	10.18632/oncotarget.9935	Breslin, Susan	2016
432	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF10F	Culture	2D	n/a	n/a	Diagnosis of disease	estrogen receptor α (ERα), Neu, c‑H‑Ras	Low	Yes	Direct	10.3892/ol.2016.4461	Calaf, Gloria M.	2016
433	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF10A	Culture	2D/3D	Organoids	n/a	Disease mechanism (exp./theor.)	BAG1, HER2, cytotoxicity, morphology, ERK, AKT 	Low	Yes	Direct	10.1038/oncsis.2016.10	Papadakis, E. S.	2016
434	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MDA-MB-231, Hs 578T, MDA-MB-157, MDA-MB-468, ZR-75-1, MDA-MB-453	Culture	2D/3D	Spheroids	n/a	Diagnosis of disease; Disease mechanism (exp./theor.)	morphology, invasion	Low	No	Direct	10.1371/journal.pone.0139523	Ziperstein, Michelle J.	2015
435	BC	BC	Cancer Initiation and Development	In vitro	Cells	Primary cell culture	BC	Culture	2D/2.5D	n/a	n/a	Disease mechanism (exp./theor.)	HER1, HER2, HER3, HER4, PDGFR, c-Kit, c-Met, IGF1R, VEGFR2, cell proliferation, cell migration, cell-adhesion, cytotoxicity	Low	Yes	Direct	10.1186/s12885-016-2769-0	Esparza-Lopez, Jose	2016
436	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MDA-MB-231 , Hs578T	Culture	2.5D/3D	Organoids	n/a	Disease mechanism (exp./theor.)	HOAXA9, BRD4	Low	Yes	Direct	10.18632/oncotarget.10491	Li, Miao	2016
437	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231 , MDA-MB-435, MCF7	Culture	2.5D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	microRNA-29, N-myc, NMI, invasion, morphology, GSK3β 	Low	Yes	Direct	10.1186/1476-4598-13-200	Rostas, Jack W., III	2014
438	BC	BC	Cancer Initiation and Development	In vitro	Ex vivo	n/a	BC	n/a	n/a	n/a	Organ slice	Disease mechanism (exp./theor.)	SIRT1, apoptosis	Low	Yes	Direct	10.1007/s00428-015-1815-7	Kim, Hyojin	2015
439	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2D/2.5D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	www.ijcem.com/files/ijcem0022022.pdf	Zhou, BG	2016
440	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7/PTX	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity, SET/PP2A/Akt pathway	Low	Yes	Direct	10.3892/mmr.2015.3468	Zhang, Weipeng	2015
442	BC	BC	Cancer Initiation and Development	In vitro	Cells/Ex vivo	Immortalised cells	MDA-MB-231	Culture	2D	n/a	Biopsies	Disease mechanism (exp./theor.)	PinX1, cell proliferation, migration, apoptosis	Medium	Yes	Direct	10.3892/or.2017.5696	Feng, Yu-Zhen	2017
443	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, KAT III	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	p53	Low	Yes	Direct	10.1016/j.ijbiomac.2017.07.165	Hasanzadeh, Mohammad	2017
444	BC	BC	Metastasis	In vitro	Cells/Ex vivo	Immortalised cells	BT474, MDA-MB-231, BC	Co-culture	3D	Spheroids	Biopsies	Disease mechanism (exp./theor.)	Reelin, HER2, viability	Low	Yes	Supportive	10.1007/s10585-017-9839-9	Jandial, Rahul	2017
445	BC	BC	Cancer Initiation and Development	In vitro	Ex vivo	n/a	n/a	n/a	n/a	n/a	Biopsies	Diagnosis of disease; Disease mechanism (exp./theor.)	miRNA expression profile	Low	Yes	Direct	10.3892/ijo.2016.3435	Do Canto, Luisa Matos	2016
446	BC	BC	Cancer Initiation and Development	In vitro	Ex vivo	n/a	n/a	n/a	n/a	n/a	Biopsies	Diagnosis of disease; Disease mechanism (exp./theor.)	DNA Repair via Homologous Recombination	Low	Yes	Direct	10.1007/s10549-017-4624-7	Telli, Melinda L.	2018
447	BC	BC	Pharmacological/Physical Treatment	In vitro/In silico	Cells/Mathematical	Immortalised cells	MDA-MB-231	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.1016/j.bmcl.2014.07.058	Kilaru, Ravendra Babu	2014
