Breast cancer type	Disease area	Disease features	Category	Type	Cells	Source	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance
												PIK3CA			
												PIK3R1/PIK3R3			
												PINX1			
												PKH26			
												PLASMA			
												PLATE			
												PLGF			
												PODOSOMES			
												POINTS			
												POLARITY			
												POLG1			
												POLYMERASE			
												POMC			
												POSITIVE			
												POTENTIAL			
												PP2A			
												PR/ERΑ			
												PRA			
												PRAS40			
												PRC1			
												PRC2			
												PRECISION			
												PRESENTATION			
												PRIMA-1			
												PRIMARY			
												PRMT1			
												PROCASPASE-3			
												PROCR			
												PRODUCTION			
												PRODUCTS			
												PROFILE			
												PROFILING			
												PROGESTERONE			
												PROINFLAMMATORY			
												PROLACTIN			
												PROPORTION			
												PROSTACYCLIN			
												PROTEASE			
												PROTEIN			
												PROTEIN-1/CC-CHEMOKINE			
												PROTEINS			
												PROTEOLYSIS			
												PROTEOLYTIC			
												PROTEOMIC			
												PROTOPORPHYRIN			
												PROTRUSION			
												PROTRUSIONS			
												PSMA			
												PTEN			
												PTHRP			
												PTPRD			
												PTTG1			
												PTX			
												PTX3			
												QUANTIFICATION			
												QUIESCIENCE			
												R/C			
												R/PR			
												R643,645,647E			
												RAB22A			
												RAB27A			
												RAC1			
												RAD52			
												RADIATION			
												RADIOSENSITIVE			
												RADIXIN			
												RAMP1			
												RAN			
												RANKL			
												RANKL/OPG			
												RANTES			
												RAS			
												RAS/MAPK/ERK			
												RAS/NF-ΚB			
												RAS/RAF/MAPK			
												RASGRF2			
												RASSF			
												RASSF1A			
												RATE			
												RATES			
												RATIO			
												RATIOS			
												RAYLEIGH			
												RB1			
												RBBP4/7			
												REACTIVE			
												RECALL			
												RECEPTOR			
												RECEPTOR-B			
												RECEPTOR-DEPENDENT			
												RECEPTORS			
												RECEPTOR-Α			
												RECK			
												RECOMBINATION			
												RECOVERY			
												RECRUITMENT			
												REELIN			
												REGULATION			
												REGULATORS			
												REPAIR			
												REPETITIVE			
												RESPONSE			
												RESPONSES			
												RET			
												REV3			
												RHOA			
												RHOA/ROCK			
												RHOA-ROCK			
												RHOC			
												RHOGDI2			
												RHOGTPASES			
												RICTOR			
												RIPK1			
												RNA			
												RNAS			
												ROGEN			
												ROS			
												RQCD1			
												R-RAS2			
												RSK			
												RSK1			
												RSK2			
												RTK5			
												RUK/CIN85			
												RUNX			
												RUNX2			
												RUNX3			
												R-Α			
												S100A2			
												S40			
												S6K1			
												SAE1/UBA2			
												SALL1			
												SALL4			
												SAR			
												SASH1			
												SCARB1			
												SCATTERING			
												SCN4B			
												SCORE			
												SCR			
												SCRAMBLE			
												SCREEN			
												SDF1			
												SDF-1			
												SECRETE			
												SECRETED			
												SECRETION			
												SECRETOME			
												SELECTIVE			
												SELL			
												SENSITIVITY			
												SEQUENCES			
												SERINE			
												SEROTONIN			
												SET/PP2A/AKT			
												SHARP-2			
												SHH			
												SIGNALING			
												SIGNATURE			
												SILIBININ			
												SIMPLEX			
												SIN3A			
												SINGLE			
												SIRT1			
												SIX2			
												SIZE			
												SKP2			
												SLC19A2			
												SLC25A19			
												SLC34A2			
												SLUG			
												SMA			
												SMAD			
												SMAD1			
												SMAD2			
												SMAD3			
												SMAD4			
												SMALL			
												SMGGDS			
												SNAI1			
												SNAI2			
												SNAIL			
												SNCG			
												SNHG14			
												SNX9			
												SOCS1			
												SOLID			
												SOMATIC			
												SONIC			
												SORTED			
												SOS			
												SOX-1			
												SOX10			
												SOX-17			
												SOX2			
												SOX-2			
												SOX4			
												SPECIES			
												SPECIFIC			
												SPECIFICITY			
												SPECTRAL			
												SPREADING			
												SQSTM1/P62			
												SRC			
												SSEA-1			
												STABILITY			
												STAINING			
												STANDARD			
												STAT1			
												STAT3			
												STAT3/IL‐6			
												STAT5			
												STAT6			
												STATUS			
												STAU1			
												STC1			
												STC2			
												STELLATE			
												STEMNESS			
												STK11			
												STRAND			
												STROMAL			
												STRUCTURE			
												SUB-CELLULAR			
												SURVIVAL			
												SURVIVIN			
												SUV420H2			
												SYNTHESIS			
												T3P			
												TAFI			
												TAK1			
												TAK-1			
												TAM			
												TAP63Α			
												TAZ			
												TBX3			
												TELOMERASE			
												TEMPERATURE			
												TFDP3			
												TGFALPHA			
												TGF-BETA			
												TGFBR3			
												TGFΒ			
												TGF-Β			
												TGF-Β/SMAD			
												TGF-Β1			
												TGF-Β3			
												TH1			
												THBD			
												THBS1			
												THERAPY			
												THIAMINE			
												TIAM1			
												TIE2			
												TIL			
												TIME			
												TIMELESS			
												TIMP-1			
												TIMP‐1			
												TIMP-2			
												TIMP‐2			
												TK1			
												TKS4			
												TKS5M			
												TLR3			
												TLR9			
												T-LYMPHOCYTE			
												TMEM2			
												TNF			
												TNF/NF-ΚB			
												TNFΑ			
												TNF-Α			
												TOPOISOMERASE			
												TOR			
												TOXICITY			
												TP53			
												TPH			
												TPH1			
												TPK1			
												TPM4			
												TPR			
												TRACTION			
												TRAIL			
												TRANSCRIPTION			
												TRANSCRIPTOMIC			
												TRANSENDOTHELIAL			
												TRANSFECTION			
												TRANSMIGRATING			
												TRANSMIGRATION			
												TRANSPORTERS			
												TRASTUZUMAB/HER2			
												TREG			
												TRIACYLGLYCEROL			
												TRIGLYCERIDE			
												TRIM21			
												TRIM29			
												TRIO			
												TRKB			
												TROP-2			
												TRUE			
												TUBB4B			
												TUBB5			
												TUBE			
												TUBE-LIKE			
												TUG1			
												TUMOR			
												TUMORIGENICITY			
												TUMOR-INFILTRATING			
												TUMORITROPIC			
												TWIST			
												TWIST1			
												TWIST-1			
												TWIST2			
												TYPE			
												TYPES			
												UBC9			
												UCH‐L1			
												UPF3A			
												UPTAKE			
												USP2			
												UV-C			
												VARIANT			
												VARIANTS			
												VARIATIONS			
												VASCOLARIZATION			
												VAV2			
												VCAM-1			
												VDR			
												VE-CADHERIN			
												VEGF			
												VEGFA			
												VEGF-A			
												VEGF-A/NEUROPILIN			
												VEGFR2			
												VELOCITY			
												VESICLE			
												VESSEL			
												VIA			
												VIABILITY			
												VIM			
												VIMENTIN			
												VIMENTINE			
												VIRUS			
												VITAMIN			
												VITRONECTIN			
												WEIGHT			
												WHSC1L1			
												WIDE			
												WISP2			
												WNT			
												WNT/NOTCH			
												WNT/Β-CATENIN			
												WNT1			
												WNT3A			
												WNT5B			
												WSB-1			
												WST-1			
												XBP-1			
												XCR4/NF-ΚB/SMO			
												XRCC1			
												YAP			
												YAP/TAZ			
												YB1			
												YB-1			
												Y-BOX-BINDING			
												YM155			
												YM55			
												YP4Z2P			
												ZEB1			
												ZEB-1			
												ZEB2			
												ZETA			
												ZNF132			
												ZNF154			
												ZO-1			
												Α1-ANTITRYPSIN			
												Α2			
												Α5			
												Α6Β4			
												ΑCSC			
												Α-ESA			
												ΑSMA			
												Α-SMA			
												Α-SMOOTH			
												ΑTC			
												ΑV			
												Β/SMAD			
												Β1			
												Β2			
												Β2-AR-PKA-MTOR			
												Β3			
												Β-CATENIN			
												Β‐CATENIN			
												Β-CATENIN/ABCG2			
												ΒCSC			
												ΒIG-H3			
												ΒTC			
												Γ-H2AX			
