Model no.	Disease Area	Disease Feature	Category	Type	Application	Biological Endpoints	Throughput	Potential	Notes	Reference	DOI	Authors	Year	Citation Index (Scopus)	Citation Index  (WOS)
174	Asthma	Airway Remodelling	Chip or microfluidic system	Human bronchial smooth muscular thin films (bMTF).	Disease mechanism (exp/theor)	Protein Expression	High Throughput(Automated)	High Potential to become a disease model		Human airway musculature on a chip: an in vitro model of allergic asthmatic bronchoconstriction and bronchodilation	https://doi.org/10.1039/c4lc00688g	Nesmith, Alexander Peyton; Agarwal, Ashutosh; McCain, Megan Laura; Parker, Kevin Kit	2014	26	26
174	Asthma	Bronchoconstriction / Bronchodilation	Chip or microfluidic system	Human Bronchial Smooth Muscle Cells (HBSMC)	Disease mechanism (exp/theor)	Protein Expression	High Throughput(Automated)	High Potential to become a disease model		Human airway musculature on a chip: an in vitro model of allergic asthmatic bronchoconstriction and bronchodilation	https://doi.org/10.1039/c4lc00688g	Nesmith, Alexander Peyton; Agarwal, Ashutosh; McCain, Megan Laura; Parker, Kevin Kit	2014	26	26
174	Asthma	Airway Remodelling	Chip or microfluidic system	Human Bronchial Smooth Muscle Cells (HBSMC)	Disease mechanism (exp/theor)	Protein Expression	High Throughput(Automated)	High Potential to become a disease model		Human airway musculature on a chip: an in vitro model of allergic asthmatic bronchoconstriction and bronchodilation	https://doi.org/10.1039/c4lc00688g	Nesmith, Alexander Peyton; Agarwal, Ashutosh; McCain, Megan Laura; Parker, Kevin Kit	2014	26	26
175	Respiratory Disease - General	Tissue/Cell Viability	Human/patient ex-vivo tissue or body fluids 	Human Precision-Cut Lung Slices (PCLS)	Model development - experim	Tissue / Cell Viability	Medium / Low (Lab scale)	High Potential to become a disease model		Assessment of long-term cultivated human precision-cut lung slices as an ex vivo system for evaluation of chronic cytotoxicity and functionality	https://doi.org/10.1186/s12995-017-0158-5	Neuhaus, Vanessa; Schaudien, Dirk; Golovina, Tatiana; Temann, Ulla-Angela; Thompson, Carolann; Lippmann, Torsten; Bersch, Claus; Pfennig, Olaf; Jonigk, Danny; Braubach, Peter; Fieguth, Hans-Gerd; Warnecke, Gregor; Yusibov, Vidadi; Sewald, Katherina; Braun, Armin	2017	5	4
176	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D Culture	human nasal epithelial cells (hNECs)	Model development - experim	Imaging	Medium / Low (Lab scale)	High Potential to become a disease model		Primary Air-Liquid Interface Culture of Nasal Epithelium for Nasal Drug Delivery	https://doi.org/10.1021/acs.molpharmaceut.5b00852	Ong, Hui Xin; Jackson, Claire L.; Cole, Janice L.; Lackie, Peter M.; Traini, Daniela; Young, Paul M.; Lucas, Jane; Conway, Joy	2016	9	9
176	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D Culture	human nasal epithelial cells (hNECs)	Model development - experim	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	High Potential to become a disease model		Primary Air-Liquid Interface Culture of Nasal Epithelium for Nasal Drug Delivery	https://doi.org/10.1021/acs.molpharmaceut.5b00852	Ong, Hui Xin; Jackson, Claire L.; Cole, Janice L.; Lackie, Peter M.; Traini, Daniela; Young, Paul M.; Lucas, Jane; Conway, Joy	2016	9	9
176	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D Culture	human nasal epithelial cells (hNECs)	Model development - experim	Mucous production	Medium / Low (Lab scale)	High Potential to become a disease model		Primary Air-Liquid Interface Culture of Nasal Epithelium for Nasal Drug Delivery	https://doi.org/10.1021/acs.molpharmaceut.5b00852	Ong, Hui Xin; Jackson, Claire L.; Cole, Janice L.; Lackie, Peter M.; Traini, Daniela; Young, Paul M.; Lucas, Jane; Conway, Joy	2016	9	9
176	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D Culture	human nasal epithelial cells (hNECs)	Model development - experim	Cillia beating Frequency	Medium / Low (Lab scale)	High Potential to become a disease model		Primary Air-Liquid Interface Culture of Nasal Epithelium for Nasal Drug Delivery	https://doi.org/10.1021/acs.molpharmaceut.5b00852	Ong, Hui Xin; Jackson, Claire L.; Cole, Janice L.; Lackie, Peter M.; Traini, Daniela; Young, Paul M.; Lucas, Jane; Conway, Joy	2016	9	9
176	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D Culture	human nasal epithelial cells (hNECs)	Model development - experim	Cytokine Release	Medium / Low (Lab scale)	High Potential to become a disease model		Primary Air-Liquid Interface Culture of Nasal Epithelium for Nasal Drug Delivery	https://doi.org/10.1021/acs.molpharmaceut.5b00852	Ong, Hui Xin; Jackson, Claire L.; Cole, Janice L.; Lackie, Peter M.; Traini, Daniela; Young, Paul M.; Lucas, Jane; Conway, Joy	2016	9	9
177	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D Culture	Cancer-associated fibroblasts (LuCAFs)	Model development - experim	Cell migration	Medium / Low (Lab scale)	High Potential to become a disease model		The effect of stromal components on the modulation of the phenotype of human bronchial epithelial cells in 3D culture	https://doi.org/10.1016/j.biomaterials.2011.06.017	Pageau, Steven C.; Sazonova, Olga V.; Wong, Joyce Y.; Soto, Ana M.; Sonnenschein, Carlos	2011	36	33
177	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D Culture	Cancer-associated fibroblasts (LuCAFs)	Model development - experim	Cell / Tissue Contraction	Medium / Low (Lab scale)	High Potential to become a disease model		The effect of stromal components on the modulation of the phenotype of human bronchial epithelial cells in 3D culture	https://doi.org/10.1016/j.biomaterials.2011.06.017	Pageau, Steven C.; Sazonova, Olga V.; Wong, Joyce Y.; Soto, Ana M.; Sonnenschein, Carlos	2011	36	33
177	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D Culture	HBEC	Model development - experim	Gene expression	Medium / Low (Lab scale)	High Potential to become a disease model		The effect of stromal components on the modulation of the phenotype of human bronchial epithelial cells in 3D culture	https://doi.org/10.1016/j.biomaterials.2011.06.017	Pageau, Steven C.; Sazonova, Olga V.; Wong, Joyce Y.; Soto, Ana M.; Sonnenschein, Carlos	2011	36	33
177	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D Culture	HBEC	Model development - experim	Cell / Tissue Contraction	Medium / Low (Lab scale)	High Potential to become a disease model		The effect of stromal components on the modulation of the phenotype of human bronchial epithelial cells in 3D culture	https://doi.org/10.1016/j.biomaterials.2011.06.017	Pageau, Steven C.; Sazonova, Olga V.; Wong, Joyce Y.; Soto, Ana M.; Sonnenschein, Carlos	2011	36	33
177	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D Culture	Human fetal lung fibroblasts IMR-90	Model development - experim	Cell / Tissue Contraction	Medium / Low (Lab scale)	High Potential to become a disease model		The effect of stromal components on the modulation of the phenotype of human bronchial epithelial cells in 3D culture	https://doi.org/10.1016/j.biomaterials.2011.06.017	Pageau, Steven C.; Sazonova, Olga V.; Wong, Joyce Y.; Soto, Ana M.; Sonnenschein, Carlos	2011	36	33
178	Asthma	Angiogenesis	2D or 3D Culture	Human lung microvascular endothelial cells HMVEC	Disease mechanism (exp/theor)	Vascularisation	Medium / Low (Lab scale)	Drug Discovery		Interleukin-17A and vascular remodelling in severe asthma; lack of evidence for a direct role.	https://doi.org/10.1111/cea.13093	Panariti, A; Baglole, C J; Sanchez, V; Eidelman, D H; Hussain, S; Olivenstein, R; Martin, J G; Hamid, Q	2018	-	1
178	Asthma	Angiogenesis	2D or 3D Culture	Primary human bronchial fibroblasts	Disease mechanism (exp/theor)	Vascularisation	Medium / Low (Lab scale)	Drug Discovery		Interleukin-17A and vascular remodelling in severe asthma; lack of evidence for a direct role.	https://doi.org/10.1111/cea.13093	Panariti, A; Baglole, C J; Sanchez, V; Eidelman, D H; Hussain, S; Olivenstein, R; Martin, J G; Hamid, Q	2018	-	1
178	Asthma	Angiogenesis	2D or 3D Culture	Human pulmonary vascular smooth muscle cells	Disease mechanism (exp/theor)	Vascularisation	Medium / Low (Lab scale)	Drug Discovery		Interleukin-17A and vascular remodelling in severe asthma; lack of evidence for a direct role.	https://doi.org/10.1111/cea.13093	Panariti, A; Baglole, C J; Sanchez, V; Eidelman, D H; Hussain, S; Olivenstein, R; Martin, J G; Hamid, Q	2018	-	1
178	Asthma	Angiogenesis	2D or 3D Culture	Primary human tracheobronchial epithelial cells 	Disease mechanism (exp/theor)	Vascularisation	Medium / Low (Lab scale)	Drug Discovery		Interleukin-17A and vascular remodelling in severe asthma; lack of evidence for a direct role.	https://doi.org/10.1111/cea.13093	Panariti, A; Baglole, C J; Sanchez, V; Eidelman, D H; Hussain, S; Olivenstein, R; Martin, J G; Hamid, Q	2018	-	1
179	Allergic rhinitis	Tissue/Cell Viability	2D or 3D Culture	human nasal epithelial cells (hNECs)	Model development - experim	mRNA expression	Medium / Low (Lab scale)	Unknown		Alternative Method for Primary Nasal Epithelial Cell Culture Using Intranasal Brushing and Feasibility for the Study of Epithelial Functions in Allergic Rhinitis	https://doi.org/10.4168/aair.2016.8.1.69	Park, Do Yang; Kim, Sujin; Kim, Chang-Hoon; Yoon, Joo-Heon; Kim, Hyun-Jik	2016	9	9
179	Allergic rhinitis	Tissue/Cell Viability	2D or 3D Culture	human nasal epithelial cells (hNECs)	Model development - experim	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	Unknown		Alternative Method for Primary Nasal Epithelial Cell Culture Using Intranasal Brushing and Feasibility for the Study of Epithelial Functions in Allergic Rhinitis	https://doi.org/10.4168/aair.2016.8.1.69	Park, Do Yang; Kim, Sujin; Kim, Chang-Hoon; Yoon, Joo-Heon; Kim, Hyun-Jik	2016	9	9
179	Allergic rhinitis	Tissue/Cell Viability	2D or 3D Culture	human nasal epithelial cells (hNECs)	Model development - experim	Imaging	Medium / Low (Lab scale)	Unknown		Alternative Method for Primary Nasal Epithelial Cell Culture Using Intranasal Brushing and Feasibility for the Study of Epithelial Functions in Allergic Rhinitis	https://doi.org/10.4168/aair.2016.8.1.69	Park, Do Yang; Kim, Sujin; Kim, Chang-Hoon; Yoon, Joo-Heon; Kim, Hyun-Jik	2016	9	9
180	Respiratory Disease - General	Protein aggregation	2D or 3D Culture	HBEC	Disease mechanism (exp/theor)	Protein Expression	Medium / Low (Lab scale)	Mechanistic Studies		Directional Secretomes Reflect Polarity-Specific Functions in an In Vitro Model of Human Bronchial Epithelium	https://doi.org/10.1165/rcmb.2013-0188OC	Pillai, Dinesh K.; Sankoorikal, Binu-John V.; Johnson, Eric; Seneviratne, Angelo N.; Zurko, Jessica; Brown, Kristy J.; Hathout, Yetrib; Rose, Mary C.	2014	17	15
181	COPD	Mucous Production	Human/patient ex-vivo tissue or body fluids 	Lung Tissue (unspecified)	Disease therapy development	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Disease Progression		Hypoxia-inducible factor-1 signalling promotes goblet cell hyperplasia in airway epithelium.	https://doi.org/10.1002/path.2863	Polosukhin, Vasiliy V; Cates, Justin M; Lawson, William E; Milstone, Aaron P; Matafonov, Anton G; Massion, Pierre P; Lee, Jae Woo; Randell, Scott H; Blackwell, Timothy S	2011	23	21
181	COPD	Mucous Production	Human/patient primary or stem cells 	HBEC	Disease therapy development	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Disease Progression		Hypoxia-inducible factor-1 signalling promotes goblet cell hyperplasia in airway epithelium.	https://doi.org/10.1002/path.2863	Polosukhin, Vasiliy V; Cates, Justin M; Lawson, William E; Milstone, Aaron P; Matafonov, Anton G; Massion, Pierre P; Lee, Jae Woo; Randell, Scott H; Blackwell, Timothy S	2011	23	21
181	COPD	Mucous Production	Human/patient primary or stem cells 	HBEC	Disease therapy development	Gene expression	Medium / Low (Lab scale)	Disease Progression		Hypoxia-inducible factor-1 signalling promotes goblet cell hyperplasia in airway epithelium.	https://doi.org/10.1002/path.2863	Polosukhin, Vasiliy V; Cates, Justin M; Lawson, William E; Milstone, Aaron P; Matafonov, Anton G; Massion, Pierre P; Lee, Jae Woo; Randell, Scott H; Blackwell, Timothy S	2011	23	21
181	COPD	Mucous Production	Human/patient primary or stem cells 	HBEC	Disease therapy development	Protein Expression	Medium / Low (Lab scale)	Disease Progression		Hypoxia-inducible factor-1 signalling promotes goblet cell hyperplasia in airway epithelium.	https://doi.org/10.1002/path.2863	Polosukhin, Vasiliy V; Cates, Justin M; Lawson, William E; Milstone, Aaron P; Matafonov, Anton G; Massion, Pierre P; Lee, Jae Woo; Randell, Scott H; Blackwell, Timothy S	2011	23	21
181	COPD	Mucous Production	Human/patient primary or stem cells 	HBEC	Disease therapy development	Protein Expression	Medium / Low (Lab scale)	Disease Progression		Hypoxia-inducible factor-1 signalling promotes goblet cell hyperplasia in airway epithelium.	https://doi.org/10.1002/path.2863	Polosukhin, Vasiliy V; Cates, Justin M; Lawson, William E; Milstone, Aaron P; Matafonov, Anton G; Massion, Pierre P; Lee, Jae Woo; Randell, Scott H; Blackwell, Timothy S	2011	23	21
182	Respiratory Disease - General	Exploratory/ no specific feature	Chip or microfluidic system	BEAS-2B	Drug development/ testing	mRNA expression	Medium / Low (Lab scale)	High Potential to become a disease model		A biologically inspired lung-on-a-chip device for the study of protein-induced lung inflammation	https://doi.org/10.1039/c4ib00239c	Punde, Tushar H.; Wu, Wen-Hao; Lien, Pei-Chun; Chang, Ya-Ling; Kuo, Ping-Hsueh; Chang, Margaret Dah-Tsyr; Lee, Kang-Yun; Huang, Chien-Da; Kuo, Han-Pin; Chan, Yao-Fei; Shih, Po-Chen; Liu, Cheng-Hsien	2015	15	16
182	Respiratory Disease - General	Exploratory/ no specific feature	Chip or microfluidic system	BEAS-2B	Drug development/ testing	Protein Expression	Medium / Low (Lab scale)	High Potential to become a disease model		A biologically inspired lung-on-a-chip device for the study of protein-induced lung inflammation	https://doi.org/10.1039/c4ib00239c	Punde, Tushar H.; Wu, Wen-Hao; Lien, Pei-Chun; Chang, Ya-Ling; Kuo, Ping-Hsueh; Chang, Margaret Dah-Tsyr; Lee, Kang-Yun; Huang, Chien-Da; Kuo, Han-Pin; Chan, Yao-Fei; Shih, Po-Chen; Liu, Cheng-Hsien	2015	15	16
183	Pulmonary Fibrosis	Gene expression	2D or 3D Culture	Human adipose-derived stem cells (hASCs)	Drug development/ testing	Cytokine Release	Medium / Low (Lab scale)	Drug Development		3D Human Adipose-Derived Stem Cell Clusters as a Model for In Vitro Fibrosis	https://doi.org/10.1089/ten.tec.2016.0037	Rajangam, Thanavel; Park, Min Hee; Kim, Sang-Heon	2016	3	2
183	Pulmonary Fibrosis	Gene expression	2D or 3D Culture	Human adipose-derived stem cells (hASCs)	Drug development/ testing	Tissue / Cell Viability	Medium / Low (Lab scale)	Drug Development		3D Human Adipose-Derived Stem Cell Clusters as a Model for In Vitro Fibrosis	https://doi.org/10.1089/ten.tec.2016.0037	Rajangam, Thanavel; Park, Min Hee; Kim, Sang-Heon	2016	3	2
183	Pulmonary Fibrosis	Gene expression	2D or 3D Culture	Human adipose-derived stem cells (hASCs)	Drug development/ testing	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Drug Development		3D Human Adipose-Derived Stem Cell Clusters as a Model for In Vitro Fibrosis	https://doi.org/10.1089/ten.tec.2016.0037	Rajangam, Thanavel; Park, Min Hee; Kim, Sang-Heon	2016	3	2
184	Asthma	Structural Changes	Computational/in silico	in silico/ mathemathical model	Model development - theoret	Airway Constriction	Not relevant (e.g. In silico)	Mechanistic Studies		A Distribution-Moment Approximation for Coupled Dynamics of the Airway Wall and Airway Smooth Muscle	https://doi.org/10.1016/j.bpj.2017.11.020	Rampadarath, Anand K.; Donovan, Graham M.	2018	1	1
185	Respiratory Disease - General	Barrier Function / Integrity	2D or 3D Culture	Human pulmonary epithelial cell lines NCI-H441	Disease mechanism (exp/theor)	mRNA expression	Medium / Low (Lab scale)	Mechanistic Studies		An Optimised Human Cell Culture Model for Alveolar Epithelial Transport	https://doi.org/10.1371/journal.pone.0165225	Ren, Hui; Birch, Nigel P.; Suresh, Vinod	2016	20	15
185	Respiratory Disease - General	Barrier Function / Integrity	2D or 3D Culture	A549 cell line	Disease mechanism (exp/theor)	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	Mechanistic Studies		An Optimised Human Cell Culture Model for Alveolar Epithelial Transport	https://doi.org/10.1371/journal.pone.0165225	Ren, Hui; Birch, Nigel P.; Suresh, Vinod	2016	20	15
185	Respiratory Disease - General	Barrier Function / Integrity	2D or 3D Culture	A549 cell line	Disease mechanism (exp/theor)	mRNA expression	Medium / Low (Lab scale)	Mechanistic Studies		An Optimised Human Cell Culture Model for Alveolar Epithelial Transport	https://doi.org/10.1371/journal.pone.0165225	Ren, Hui; Birch, Nigel P.; Suresh, Vinod	2016	20	15
185	Respiratory Disease - General	Barrier Function / Integrity	2D or 3D Culture	Human pulmonary epithelial cell lines NCI-H441	Disease mechanism (exp/theor)	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	Mechanistic Studies		An Optimised Human Cell Culture Model for Alveolar Epithelial Transport	https://doi.org/10.1371/journal.pone.0165225	Ren, Hui; Birch, Nigel P.; Suresh, Vinod	2016	20	15
186	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D Culture	Primary human tracheobronchial epithelial cells 	Model development - experim	Other	Medium / Low (Lab scale)	High Potential to become a disease model		Feasibility of a 3D human airway epithelial model to study respiratory absorption.	https://doi.org/10.1016/j.tiv.2013.10.025	Reus, Astrid A; Maas, Wilfred J M; Jansen, Harm T; Constant, Samuel; Staal, Yvonne C M; van Triel, Jos J; Kuper, C Frieke	2014	14	13
187	Asthma	Barrier Function / Integrity	2D or 3D Culture	16HBE14o- Human Bronchial Epithelial Cell Line	Disease mechanism (exp/theor)	Protein Expression	Medium / Low (Lab scale)	Mechanistic Studies		Polyinosinic:polycytidylic acid induces protein kinase D-dependent disassembly of apical junctions and barrier dysfunction in airway epithelial cells	https://doi.org/10.1016/j.jaci.2011.08.035	Rezaee, Fariba; Meednu, Nida; Emo, Jason A.; Saatian, Bahman; Chapman, Timothy J.; Naydenov, Nayden G.; De Benedetto, Anna; Beck, Lisa A.; Ivanov, Andrei I.; Georas, Steve N.	2011	56	53
187	Asthma	Barrier Function / Integrity	2D or 3D Culture	16HBE14o- Human Bronchial Epithelial Cell Line	Disease mechanism (exp/theor)	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	Mechanistic Studies		Polyinosinic:polycytidylic acid induces protein kinase D-dependent disassembly of apical junctions and barrier dysfunction in airway epithelial cells	https://doi.org/10.1016/j.jaci.2011.08.035	Rezaee, Fariba; Meednu, Nida; Emo, Jason A.; Saatian, Bahman; Chapman, Timothy J.; Naydenov, Nayden G.; De Benedetto, Anna; Beck, Lisa A.; Ivanov, Andrei I.; Georas, Steve N.	2011	56	53
187	Asthma	Barrier Function / Integrity	2D or 3D Culture	16HBE14o- Human Bronchial Epithelial Cell Line	Disease mechanism (exp/theor)	Imaging	Medium / Low (Lab scale)	Mechanistic Studies		Polyinosinic:polycytidylic acid induces protein kinase D-dependent disassembly of apical junctions and barrier dysfunction in airway epithelial cells	https://doi.org/10.1016/j.jaci.2011.08.035	Rezaee, Fariba; Meednu, Nida; Emo, Jason A.; Saatian, Bahman; Chapman, Timothy J.; Naydenov, Nayden G.; De Benedetto, Anna; Beck, Lisa A.; Ivanov, Andrei I.; Georas, Steve N.	2011	56	53
188	Pulmonary Fibrosis	Idiopathic Pulmonary Fibrosis (IPF)	Human/patient ex-vivo tissue or body fluids 	Human lung parenchyma	Disease therapy development	mRNA expression	Medium / Low (Lab scale)	Mechanistic Studies		A model of human lung fibrogenesis for the assessment of anti-fibrotic strategies in idiopathic pulmonary fibrosis	https://doi.org/10.1038/s41598-017-18555-9	Roach, Katy M.; Sutcliffe, Amanda; Matthews, Laura; Elliott, Gill; Newby, Chris; Amrani, Yassine; Bradding, Peter	2018	5	5
188	Pulmonary Fibrosis	Idiopathic Pulmonary Fibrosis (IPF)	Human/patient ex-vivo tissue or body fluids 	Human lung parenchyma	Disease therapy development	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Mechanistic Studies		A model of human lung fibrogenesis for the assessment of anti-fibrotic strategies in idiopathic pulmonary fibrosis	https://doi.org/10.1038/s41598-017-18555-9	Roach, Katy M.; Sutcliffe, Amanda; Matthews, Laura; Elliott, Gill; Newby, Chris; Amrani, Yassine; Bradding, Peter	2018	5	5
188	Pulmonary Fibrosis	Idiopathic Pulmonary Fibrosis (IPF)	Human/patient ex-vivo tissue or body fluids 	Human lung parenchyma	Disease therapy development	Gene expression	Medium / Low (Lab scale)	Mechanistic Studies		A model of human lung fibrogenesis for the assessment of anti-fibrotic strategies in idiopathic pulmonary fibrosis	https://doi.org/10.1038/s41598-017-18555-9	Roach, Katy M.; Sutcliffe, Amanda; Matthews, Laura; Elliott, Gill; Newby, Chris; Amrani, Yassine; Bradding, Peter	2018	5	5
189	Pulmonary Fibrosis	Idiopathic Pulmonary Fibrosis (IPF)	Human/patient primary or stem cells 	Primary human bronchial fibroblasts	Disease therapy development	mRNA expression	Medium / Low (Lab scale)	Mechanistic Studies		Global Gene Expression Analysis in an in vitro Fibroblast Model of Idiopathic Pulmonary Fibrosis Reveals Potential Role for CXCL14/CXCR4	https://doi.org/10.1038/s41598-018-21889-7	Rodriguez, Luis R.; Emblom-Callahan, Margaret; Chhina, Mantej; Bui, Sarah; Aljeburry, Bilal; Tran, Luc H.; Novak, Rebecca; Lemma, Merte; Nathan, Steven D.; Grant, Geraldine M.	2018	2	1
189	Pulmonary Fibrosis	Idiopathic Pulmonary Fibrosis (IPF)	Human/patient primary or stem cells 	Primary human bronchial fibroblasts	Disease therapy development	mRNA expression	Medium / Low (Lab scale)	Mechanistic Studies		Global Gene Expression Analysis in an in vitro Fibroblast Model of Idiopathic Pulmonary Fibrosis Reveals Potential Role for CXCL14/CXCR4	https://doi.org/10.1038/s41598-018-21889-7	Rodriguez, Luis R.; Emblom-Callahan, Margaret; Chhina, Mantej; Bui, Sarah; Aljeburry, Bilal; Tran, Luc H.; Novak, Rebecca; Lemma, Merte; Nathan, Steven D.; Grant, Geraldine M.	2018	2	1
190	Asthma	Airway Remodelling	Human/patient primary or stem cells 	Human airway smooth muscle cells (HASMCs)	Disease mechanism (exp/theor)	Protein Expression	Medium / Low (Lab scale)	Mechanistic Studies		Extra-Cellular Matrix Proteins Induce Matrix Metalloproteinase-1 (MMP-1) Activity and Increase Airway Smooth Muscle Contraction in Asthma	https://doi.org/10.1371/journal.pone.0090565	Rogers, Natasha K.; Clements, Debbie; Dongre, Arundhati; Harrison, Tim W.; Shaw, Dominic; Johnson, Simon R.	2014	16	13
190	Asthma	Airway Remodelling	Human/patient primary or stem cells 	Human airway smooth muscle cells (HASMCs)	Disease mechanism (exp/theor)	Gene expression	Medium / Low (Lab scale)	Mechanistic Studies		Extra-Cellular Matrix Proteins Induce Matrix Metalloproteinase-1 (MMP-1) Activity and Increase Airway Smooth Muscle Contraction in Asthma	https://doi.org/10.1371/journal.pone.0090565	Rogers, Natasha K.; Clements, Debbie; Dongre, Arundhati; Harrison, Tim W.; Shaw, Dominic; Johnson, Simon R.	2014	16	13
191	Cystic Fibrosis	Healing / repair	Human/patient primary or stem cells 	Human Airway Epithelial Cells (hAEC)	Disease mechanism (exp/theor)	Cell proliferation	Medium / Low (Lab scale)	Mechanistic Studies		Quorum-sensing inhibition abrogates the deleterious impact of Pseudomonas aeruginosa on airway epithelial repair	https://doi.org/10.1096/fj.201500166R	Ruffin, Manon; Bilodeau, Claudia; Maille, Emilie; LaFayette, Shantelle L.; McKay, Geoffrey A.; Nguyen Thu Ngan Trinh; Beaudoin, Trevor; Desrosiers, Martin-Yvon; Rousseau, Simon; Dao Nguyen; Brochiero, Emmanuelle	2016	15	13
191	Cystic Fibrosis	Elastin Viability	Human/patient primary or stem cells 	Human Airway Epithelial Cells (hAEC)	Disease mechanism (exp/theor)	Gene expression	Medium / Low (Lab scale)	Mechanistic Studies		Quorum-sensing inhibition abrogates the deleterious impact of Pseudomonas aeruginosa on airway epithelial repair	https://doi.org/10.1096/fj.201500166R	Ruffin, Manon; Bilodeau, Claudia; Maille, Emilie; LaFayette, Shantelle L.; McKay, Geoffrey A.; Nguyen Thu Ngan Trinh; Beaudoin, Trevor; Desrosiers, Martin-Yvon; Rousseau, Simon; Dao Nguyen; Brochiero, Emmanuelle	2016	15	13
192	Asthma	Bronchoconstriction / Bronchodilation	Human/patient ex-vivo tissue or body fluids 	Lung Tissue (unspecified)	Disease therapy development	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Drug Development		Prostaglandin E2 inhibits mast cell-dependent bronchoconstriction in human small airways through the E prostanoid subtype 2 receptor.	https://doi.org/10.1016/j.jaci.2015.04.002	Safholm, Jesper; Manson, Martijn L; Bood, Johan; Delin, Ingrid; Orre, Ann-Charlotte; Bergman, Per; Al-Ameri, Mamdoh; Dahlen, Sven-Erik; Adner, Mikael	2015	30	30
193	Asthma	Inflammation	2D or 3D co-culture	Bronchial epithelial biopsy tissue 	Disease mechanism (exp/theor)	mRNA expression	Medium / Low (Lab scale)	Mechanistic Studies		Human Bronchial Epithelial Cell-derived Factors from Severe Asthmatic Subjects Stimulate Eosinophil Differentiation	https://doi.org/10.1165/rcmb.2016-0262OC	Salter, Brittany M. A.; Smith, Steven G.; Mukherjee, Manali; Plante, Sophie; Krisna, Sakktee; Nusca, Graeme; Oliveria, John Paul; Irshad, Anam; Gauvreau, Gail M.; Chakir, Jamila; Nair, Parameswaran; Sehmi, Roma	2018	5	3
193	Asthma	Inflammation	2D or 3D co-culture	Bronchial epithelial biopsy tissue 	Disease mechanism (exp/theor)	Cell /  Tissue Morphology	Medium / Low (Lab scale)	Mechanistic Studies		Human Bronchial Epithelial Cell-derived Factors from Severe Asthmatic Subjects Stimulate Eosinophil Differentiation	https://doi.org/10.1165/rcmb.2016-0262OC	Salter, Brittany M. A.; Smith, Steven G.; Mukherjee, Manali; Plante, Sophie; Krisna, Sakktee; Nusca, Graeme; Oliveria, John Paul; Irshad, Anam; Gauvreau, Gail M.; Chakir, Jamila; Nair, Parameswaran; Sehmi, Roma	2018	5	3
194	Asthma	Airway Remodelling	Human/patient primary or stem cells 	Primary human bronchial fibroblasts	Disease mechanism (exp/theor)	Cell /  Tissue Morphology	Medium / Low (Lab scale)	Mechanistic Studies		Undifferentiated Bronchial Fibroblasts Derived from Asthmatic Patients Display Higher Elastic Modulus than Their Non-Asthmatic Counterparts	https://doi.org/10.1371/journal.pone.0116840	Sarna, Michal; Wojcik, Katarzyna A.; Hermanowicz, Pawel; Wnuk, Dawid; Burda, Kvetoslava; Sanak, Marek; Czyz, Jaroslaw; Michalik, Marta	2015	13	12
194	Asthma	Airway Remodelling	Human/patient primary or stem cells 	Primary human bronchial fibroblasts	Disease mechanism (exp/theor)	Protein Expression	Medium / Low (Lab scale)	Mechanistic Studies		Undifferentiated Bronchial Fibroblasts Derived from Asthmatic Patients Display Higher Elastic Modulus than Their Non-Asthmatic Counterparts	https://doi.org/10.1371/journal.pone.0116840	Sarna, Michal; Wojcik, Katarzyna A.; Hermanowicz, Pawel; Wnuk, Dawid; Burda, Kvetoslava; Sanak, Marek; Czyz, Jaroslaw; Michalik, Marta	2015	13	12
194	Asthma	Airway Remodelling	Human/patient primary or stem cells 	Primary human bronchial fibroblasts	Disease mechanism (exp/theor)	Cell motility	Medium / Low (Lab scale)	Mechanistic Studies		Undifferentiated Bronchial Fibroblasts Derived from Asthmatic Patients Display Higher Elastic Modulus than Their Non-Asthmatic Counterparts	https://doi.org/10.1371/journal.pone.0116840	Sarna, Michal; Wojcik, Katarzyna A.; Hermanowicz, Pawel; Wnuk, Dawid; Burda, Kvetoslava; Sanak, Marek; Czyz, Jaroslaw; Michalik, Marta	2015	13	12
