Model no.	Disease area	Disease feature 	Disease feature 1	Disease feature 2	Disease feature 3	Cellular Input	Model	Category	Type	Cells	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance	Status	Content	Predictive	Year	First Author Name	Link to Abstract (DOI)
82	General	Immunotherapy	immunotherapy			T-cells, PBMCs	MDA-MB-435, HeLa, Colo-205, Du-145	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	cytotoxicity, cytokines	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Eisenberg, V	10.3389/fimmu.2017.01212
83	Cervical Cancer	Immunotherapy	immunotherapy			T-cells	CaSki , SiHa	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity, infiltration, spheroid morphology	Low	Yes	Direct	Proof of Concept/Qualified externally	Low	No	2015	Giannattasio, A	10.1186/s12885-015-1321-y
84	Leukaemia	Anti-Cancer Therapy	anti-cancer therapy			NK cells	patient-derived myeloid leukemia (AML) cells	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	degranulation, citotoxicity, 	Low	Yes	Supportive	Proof of Concept	Low	No	2017	Koerner, SP	10.1038/leu.2016.194
85	General	Immunomodulation	immunomodulation			n/a	T-cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	B7-H1, Colony formation, 	Low	Yes	Supportive	Proof of Concept	Low	No	2019	Wang, J	10.1038/s41591-019-0374-x
86	Neuroblastoma, Melanoma 	Immunomodulation	immunomodulation			T-cells, PBMCs and monocytes 	IMR-32, SK-N-FI, mel526 	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	IFN-γ, IL-2, and IL-12p70,  oxidative and apoptotic stress, viability, prolieration	Low	Yes	Direct	Proof of Concept/Qualified externally	Low	No	2014	Jin, C	10.1038/mtm.2014.1
87	Melanoma	Immunotherapy	immunotherapy			n/a	T-cells, PBMCs	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor) Disease therapy dev	ABCB5, cytokines,  IFN‐γ, TNF-α	Low	Yes	Direct	Proof of Concept	Low	Yes	2018	Borchers, S	10.1111/cei.13053
88	Non-Small Cell Lung Cancer	Cancer initiation and develop.	cancer initiation and dev			PBMCs, macrophages derived from U937 	A-549, H23 or H838	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	TREM-1, COX-2 	Low	Yes	Direct	Proof of Concept/Qualified externally	Low	No	2014	Yuan, ZH	10.1371/journal.pone.0094241
89	Pancreatic Cancer	Cancer initiation and develop.	cancer initiation and dev			NK cells, NK-92 cells	hTERT-HPNE and pancreatic cancer cell lines	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	 MMP-9, IDO, apoptosis, GM-CSF, TNF-α, and IFN-γ	Low	Yes	Direct	Proof of Concept/Qualified externally	Low	No	2014	Peng, YP	10.1186/1471-2407-14-738
90	Liver Cancer, Leukemia	Immunotherapy	immunotherapy			T-cells, NK cell, myeloid cells	HepG2 and K562	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor) Disease therapy dev	proliferation, cytotoxicity, cytolines	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Steggerda, SM	10.1186/s40425-017-0308-4
91	Non-Small Cell Lung Cancer	Immunotherapy	immunotherapy			CIK cells	A-549, H1299, SPC-A-1, and H1975	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	PD-1, LDH, cytotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Chen, JY	10.21037/jtd.2018.10.111
92	Pancreatic Cancer	Gene therapy	gene therapy	 microenvironment		myeloid and endothelial cells, T cells	MIA-PaCa-2 	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	T-cell response, migration, cytokines	Medium	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Eriksson, E	10.1038/gt.2016.80
93	Colon Cancer	Cancer initiation and develop.	cancer initiation and dev	 patient immunoprofile		n/a	CRC cells	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	citotoxicity, proliferation, survival, antigen 6 complex, locus G6D (LY6G6D) , JAK/STAT5	Low	Yes	Supportive	Qualified externally	High	Yes	2019	Giordano, G	10.1186/s13046-018-1019-5
94	General	Anti-Cancer Therapy	anti-cancer therapy			n/a	SK-BR-3, A431, NCI-N87, MKN-7, AGS, JIMT-1	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity, drug internalization, 	Low	Yes	Direct	Qualified externally	Low	No	2014	D'Avino, C	10.1093/protein/gzt065
95	Breast Cancer	Immunotherapy	immunotherapy			NK-92	MDA-MB-231, MDA-MB-468, and MCF-7, 293T,Phoenix cells	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	IFN-γ release, cell viability, citotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2016	Chen, XL	10.18632/oncotarget.8526
96	Ovarian Cancer	Anti-Cancer Therapy	anti-cancer therapy			n/a	NCI-H226, NCI-H358 and NIH:OVCAR-3	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity	Low	Yes	Supportive	Qualified internally	Low	No	2017	Kollmorgen, G	10.1038/s41598-017-17329-7
97	Sarcoma	Immunotherapy	immunotherapy			cytokine induced Killer cells (CIK)	autologous sCSC	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	cell viability	Low	Yes	Direct	Proof of Concept	Low	No	2018	Mesiano, G	10.1080/2162402X.2018.1465161
98	Lymphoma	Immunotherapy	immunotherapy			NK cells	Raji cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	IL-2, IFNγ, citotoxicity	Low	Yes	Supportive	Proof of Concept	Low	No	2014	Chang, HC	10.1007/s00262-013-1513-8
99	Breast Cancer	Immunotherapy	Immunotherapy	 immunomodulation		n/a	PBMCs	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev Drug dev/testing	proliferation	Low	Yes	Direct	Proof of Concept	Low	No	2014	Saleh, F	10.1186/1472-6882-14-322
100	Haematological Cancer	Immunotherapy	Immunotherapy	 immunomodulation		NK cells	K562, U937	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	apoptosis, 	Low	Yes	Direct	Proof of Concept/Qualified externally	Low	No	2015	Sanchez-Martinez, D	10.4161/2162402X.2014.991613
101	Clear Cell Renal Cell Carcinomas	Cancer initiation and develop.	cancer initiation and dev			PBMCs	ACHN cells	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	3D	Spheroids	n/a	Disease mechanism (exp/theor)	apoptosis, Colony formation, TIM-3	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2015	Komohara, Y	10.1158/2326-6066.CIR-14-0156
102	General	Immunotherapy	immunotherapy			NKT-like Cells 	DCs	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity	Low	Yes	Direct	Proof of Concept	Low	No	2016	Kitayama, S	10.1016/j.stemcr.2016.01.005
103	Ovarian Cancer	Immunotherapy	immunotherapy			NKT cells	SK-OV-3, HEC-1A, ovarian tumor	In vitro	Cells / Ex vivo	Primary cell culture	Coculture	2D	n/a	Biopsies	Disease mechanism (exp/theor)	T-cell response 	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2016	Tiper, IV	10.1158/1078-0432.CCR-15-2518
104	Non-Small Cell Lung Cancer	Immunotherapy	Immunotherapy	 microenvironment		infiltrating Lymphocytes 	CHO-A1,HEK-A2B, HeLa-A2A ,HeLa-A3, lung Cancer tissue	In vitro	Cells / Ex vivo	Primary cell culture	Coculture	2D	n/a	Biopsies	Disease therapy dev	Adenosine A2a Receptor, citotoxicity, PD-1	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Mediavilla-Varela, M	10.1016/j.neo.2017.02.004
105	Glioblastoma Multiforme	Anti-Cancer Therapy	anti-cancer therapy	 immunoomdulation		n/a	U251, GL-15	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	NF-κB/β-catenin and STAT3/IL-6 Pathways	Low	Yes	Supportive	Qualified externally	Low	No	2018	Silva, TCC	10.2174/1871520618666180412122101
106	Burkitt’S Lymphoma	Anti-Cancer Therapy	anti-cancer therapy	 immunoomdulation		macrophages	Raji cells	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev Drug dev/testing	proliferation, invasion, Phagocytosis, T-cell proliferation	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Zhang, J	10.1186/s12885-018-4266-0
107	Breast Cancer	Cancer initiation and develop.	cancer initiation and dev			γδ T-cells	MCF-7, T47D	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	infiltration, citotoxicity, MIP1α, RANTES, and CD40L	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Siegers, GM	10.3389/fimmu.2018.01367
108	Primary Acute Lymphoblastic Leukemia	Immunotherapy	immunotherapy			Adaptive NK Cells	 721.221.AEH	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity	Low	Yes	Supportive	Proof of Concept	Low	No	2017	Liu, LL	10.1158/2326-6066.CIR-16-0296
109	Salivary Gland Cancer	Immunotherapy	immunotherapy			Activated iNKT cells, CAR-T cells	A-253 cells, FaDu cells, IMC-3, M108, K562-MSLN	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity, prolifetarion	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Makita, Y	10.1186/s12885-018-5179-7
110	Glioma	Immunotherapy	immunotherapy			n/a	tumor-infiltrating Lymphocytes (TILs)	In vitro/In silico	Cells / Ex vivo /Computational	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	T-cell response, IFN-γ, TNF-α and IL-17A	High	Yes	Supportive	Proof of Concept	Medium	No	2018	Valentini D	10.18632/oncotarget.24955
111	General	Immunotherapy	immunotherapy	 virotherapy		TILs, TANs	Biopsies	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	Biopsies	Disease therapy dev	IL-8	Low	Yes	Supportive	Proof of Concept	Medium	No	2018	Taipale, K.	10.18632/oncotarget.23967
112	Acute Myeloid Leukemia	Immunotherapy	immunotherapy			PBMCs, T-cells	MOLM-13	In vitro	Cells	Primary cell culture	Culture	3D	Scaffolds	n/a	Model/method dev - exp	CD33-CD3	Low	Yes	Supportive	Proof of Concept	Low	No	2017	Aliperta, R	10.1038/srep42855
113	Multiple Myeloma And Oral Squamous Cell Carcinoma	Immunomodulation	immunomodulation	 Cancer and patient classification		n/a	MM.1S, U266B1, SCC4, SCC15, and SCC25	In vitro/In silico	Cell free / Simulation	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	PD-L1	Low	Yes	Direct	Qualified externally	High	Yes	2016	Lanzel, EA	10.1007/s00262-016-1907-5
114	Non-Small Cell Lung Cancer, Lung Adenocarcinoma	Immunotherapy	immunotherapy			n/a	n/a	In silico	Computational	n/a	n/a	n/a	n/a	n/a	Disease therapy dev	XAGE-1b	Low	Yes	Direct	Proof of Concept	Low	No	2018	Tarek, MM	10.1016/j.bj.2018.04.002
115	Acute B Lymphoblastic Leukemia	Immunotherapy	immunotherapy			T-cells	Biopsies	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity, secreted IL2 and IL6, IL3, TNFα, and IFNγ	Low	Yes	Supportive	Proof of Concept	Low	No	2015	Fan, DM	10.1186/s13045-015-0205-6
116	Lung Cancer	Anti-Cancer Therapy	anti-cancer therapy			n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor) Disease therapy dev	CD22	Low	Yes	Direct	Proof of Concept	Low	No	2014	Pop, LM	10.1158/0008-5472.CAN-13-1436
117	Colorectal And Prostate Cancer	Immunotherapy	Immunotherapy	 immunomodulation		monocytes	SW480, Caco-2, HKE3, 22Rv11, VCaP and LNCaP	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	endocytosis, proliferation,  cytokine and chemokine	Low	Yes	Direct	Proof of Concept/Qualified externally	Medium	No	2015	Lundholm, M	10.1038/srep15651
118	Rhabdomyosarcoma, Breast, Prostate And Pancreatic Cancer	Anti-Cancer Therapy	anti-cancer therapy			n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Drug dev/testing	citotoxicity	Low	Yes	Direct	Proof of Concept	Low	No	2015	Niesen, J	10.1007/s00432-015-1975-5
119	Glioblastoma Multiforme	Cancer initiation and develop.	cancer initiation and dev			n/a	HGCC	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	IFNβ 	Low	No	Supportive	Qualified externally	Low	No	2017	Ramachandran, M	10.1158/1078-0432.CCR-16-0925
120	Ovarian Cancer	Cancer initiation and develop.	cancer initiation and dev			PBMCs	3AO, A2780, HO-8910, OVCAR-3 and SKOV-3, K562	In vitro/In silico	Cells / Ex vivo /Computational	Primary cell culture	Coculture	2D	n/a	n/a	Drug dev/testing	Degranulation , MICA/B and NKG2D-Fc fusion protein, HLA-I, citotoxicity	Low	Yes	Direct	Proof of Concept/Qualified externally	Low	No	2017	Liu J	10.1371/journal.pone.0175704
121	Small Cell Lung Cancer	Immunotherapy	immunotherapy			n/a	NCI-H69, NCI-H146, NCI-H446, NCI-H82, NCI-N592	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	IL-27, IL-6, IFN-γ	Low	Yes	Direct	Qualified externally	Low	No	2017	Carbotti, G	10.1186/s13046-017-0608-z
122	Pancreatic Cancer	Cancer initiation and develop.	cancer initiation and dev			n/a	Panc-1, Panc-2, Colo-357, SU8686, AsPC-1, MIA MIA-PaCa-2 and Bx-PC3, HPDE-E6E7	In vitro	Cells	Immortalized cells	Culture	3D	Spheroids	n/a	Disease mechanism (exp/theor)	proliferation, HERV-K, cell-adhesion	Low	No	Supportive	Qualified externally	High	No	2017	Li, M	10.1158/1078-0432.CCR-17-0001
123	Cervical Cancer	Anti-Cancer Therapy	antibody dev			n/a	SiHa keratinocytes	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	proliferation, scFV	Low	Yes	Direct	Qualified externally	Low	No	2018	Verachi, F	10.1155/2018/6583852
124	Colorectal Cancer	Immunotherapy	immunotherapy			NK cells	liver metastasis	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Drug dev/testing	polio virus receptor and Nectin-2, whereas UL16-binding proteins , MICA/B and HLA	Low	Yes	Supportive	Proof of Concept	Low	No	2018	Turin, I	10.1097/CJI.0000000000000205
125	General	Virotherapy 	virotherapy 			n/a	HEK293, MCF-7, A-549, HO-8910PM, HeLa, HepG2	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	Hemolysis , citotoxicity, apoptosis, migration	Low	Yes	Direct	Qualified externally	Low	No	2018	Sun, MN	10.1186/s12935-018-0546-7
126	Breast Cancer	Anti-Cancer Therapy	anti-cancer therapy			n/a	triple negative breast cancer cell	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	IL1RAcP, proliferation, citotoxicity	Low	Yes	Direct	Qualified externally	Low	No	2018	Zheng, PF	10.1016/j.biopha.2018.07.099
127	Monocytic Leukemia, Myelomonocytic Leukemia	Anti-Cancer Therapy	anti-cancer therapy			n/a	AML-M4, AML-M5	In vitro	Cells / Ex vivo	Immortalized cells / Stem cells	Culture	2D	n/a	Biopsies	Disease therapy dev	MUC-1, prolifetration	Low	Yes	Direct	Proof of Concept	Low	No	2019	Guillaume, T	10.1016/j.exphem.2018.12.002
128	Chronic Lymphocytic Leukemia	Immunotherapy	immunotherapy			n/a	PBMCs	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	ROR1	Low	No	Direct	Proof of Concept	Low	No	2015	Hojjat-Farsangi, M	10.1371/journal.pone.0142310
129	General	Immunotherapy	immunotherapy			Human sera	PC14,  LU99B, PCI6,  A172, HT-1080, MKN28, AZ-521, MCF-7 	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	citotoxicity, protein profile	Low	Yes	Supportive	Qualified externally	Low	No	2014	Oji, Y	10.3892/ijo.2014.2318
130	General (Breast Cancer As Instrumental)	Anti-Cancer Therapy	anti-cancer therapy			CTLs	 MDA-MB-231, BT-474	In vitro	Cells	Immortalized cells	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	peptide binding	Low	Yes	Direct	Qualified externally	Low	No	2016	Lopez, M	10.1007/s00262-016-1877-7
131	General	Tumor characterization	Tumor characterization			n/a	Biopsies	In vitro/In silico	Ex vivo / Computational	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	T cell count	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	Yes	2018	Steele, KE	10.1186/s40425-018-0326-x
132	General	Immunotherapy	immunotherapy			n/a	SK-MES-1, U251, HEC-1B, SK-MEL-2	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	PLK1	Low	Yes	Supportive	Qualified externally	Low	No	2018	Li, MY	10.1155/2018/3979527
133	General	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Disease therapy dev	immune dynamycs	Low	Yes	Direct	Proof of Concept	Low	Yes	2014	Dawkins, BA	10.1117/12.2041810
134	Colorectal Cancer	Immunotherapy	Immunotherapy	 anti-cancer treatment		n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Disease therapy dev	treatment effectiveness	Low	Yes	Direct	Proof of Concept	Low	Yes	2017	Abernathy, K	10.1016/j.heliyon.2017.e00247
135	Pancreatic Cancer	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	killing rates of CD8+ T cell and NK cells	Low	Yes	Direct	Proof of Concept	Low	Yes	2016	Li, XF	10.1016/j.jtbi.2016.06.021
136	Breast Cancer	Immunotherapy	immunotherapy			NK-92	MCF-7	In vitro	Cells	Immortalized cells	MPS	2D/3D	Spheroids	n/a	Drug dev/testing	citotoxicity	Low	Yes	Supportive	Qualified externally	Low	No	2019	Ayuso, JM	10.1080/2162402X.2018.1553477
137	Colorectal Cancer	Immunotherapy	immunotherapy			n/a	n/a	In silico	Simulation	n/a	n/a	n/a	n/a	n/a	Drug dev/testing Model/method dev - theor	citotoxicity, PD-1	Low	Yes	Direct	Proof of Concept	Low	Yes	2018	Kather, JN	10.1158/0008-5472.CAN-18-1126
138	Colorectal Cancer	Immunotherapy	immunotherapy			TILs	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	T-cell Infiltration, citotoxicity	Low	Yes	Direct	Proof of Concept	Low	No	2015	Maby, P	10.1158/0008-5472.CAN-14-3051
139	Bladder Urothelial Carcinoma	Cancer initiation and develop.	cancer initiation and dev			n/a	Biopsies, BIU-87	In vitro	Cells / Ex vivo	Immortalized cells / primary cell culture	Culture	2D	n/a	Biopsies	Disease mechanism (exp/theor)	B7-H4, citotoxicity, t-cells infiltration	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2014	Liu, WH	10.3892/ol.2014.2522
140	Neuroblastoma	Anti-Cancer Therapy	anti-cancer therapy			n/a	IMR-32, LA-N-1, CHP-134 	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	PI3K/Akt/mTOR , citotoxicity	Low	Yes	Direct	Qualified externally	Low	No	2015	Durbas, M	10.3892/ijo.2015.3070
141	Colorectal Cancer	Cancer initiation and develop.	cancer initiation and dev			PBMCs	SW480 or SW620	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	T cell infiltration	Low	Yes	Supportive	Proof of Concept	Low	No	2015	OuYang, LY	10.1186/s12967-015-0410-7
142	Small Cell Lung Cancer	Tumor characterization	Tumor characterization			n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Diagnosis of disease	antibody profile 	Low	Yes	Supportive	Proof of Concept	Medium	Yes	2015	ten Haaf, A	10.1016/j.imlet.2015.05.013
143	Head And Neck Squamous Cell Carcinoma	Immunotherapy	immunotherapy			NK cells	FaDu, CAL27, CCL-138	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	spheroid formation, citotoxicity, sNKG2D 	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Weil, S	10.3389/fimmu.2017.00387/full#h3
144	Breast Cancer	Immunomodulation	immunomodulation			NK cells	MDA-MB-231, HCC-70, MCF-7	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	IL-18. PD1, 	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Park, IH	10.18632/oncotarget.16281
145	Breast Cancer	Immunotherapy	immunotherapy			n/a	 HCC-1187, HCC-70, BT20, MCF-7, MDA-MB-231, BC	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	cancer testis antigenes	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Mirandola, L	10.18632/oncotarget.20102
146	Ovarian Cancer	Immunotherapy	immunotherapy			mestrual fluid	HEK293, SKOV-3.ip1, SKOV-3.ip1-luc, OV-4 	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	citotxicity, Cytokine and Chemokine, Colony formation	Low	Yes	Direct	Qualified externally	Medium	No	2017	Alfano, AL	10.1016/j.omto.2017.06.002
147	Head And Neck Squamous Cell Carcinoma	Biomarkers	biomarkers			n/a	Biopsies, serum and peripheral Blood	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	sperm protein 17	Low	Yes	Supportive	Proof of Concept	Low	No	2017	Schutt, CA	10.18632/oncotarget.22213
148	Ovarian Cancer	Immunotherapy	immunotherapy			Monocytic MDSCs	PBMCs	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	blood mMDSCs to DC ratio	Low	Yes	Supportive	Proof of Concept	Low	No	2018	Santegoets, SJAM	10.1080/2162402X.2018.1465166
149	Colon Cancer	Microenvironment	microenvironment			THP-1, U937	HT-29, SW620	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	migration, invasion, proliferation. morphology, β-catenin/TCF4	Low	Yes	Supportive	Qualified externally	Low	No	2018	Marcuello, M	10.1371/journal.pone.0192958
150	Gastric Cancer	Immunotherapy	immunotherapy			PBMCs - CAR-T	NCI-N87, MKN45, AGS, NUGC3, SGC-7901, MGC-803 and BGC823, and Jurkat cells, Biopsies	In vitro	Cells	Immortalized cells / primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	citoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Han, HB	10.3892/ol.2018.8255
151	Glioblastoma Multiforme	Cancer initiation and develop.	cancer initiation and dev	 anti-cancer treatment		n/a	U87-MG, LN229, 293 T, U251	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	citotoxicity, cell viability, proliferatio, migration, PD-L1	Low	Yes	Supportive	Qualified externally	Low	No	2018	Qiu, XY	10.1016/j.bbadis.2018.03.002
152	Pancreatic Cancer	Immunotherapy	immunotherapy			T-cells	PC3	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	citoticity, TGF-ß, PDL-1	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Zhang, Q	10.1016/j.eururo.2017.12.008
153	Lung Adenocarcinoma	Immunotherapy	immunotherapy			n/a	TIB-152, AKR-209	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	proliferation, amine, citolysis, viability	Low	Yes	Supportive	Qualified externally	Low	No	2018	Mendieta, I	10.1530/EC-18-0145
154	Neuroblastic Tumors	Immunotherapy	immunotherapy			n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor) Disease therapy dev	Disialoganglioside	Low	Yes	Direct	Proof of Concept	Low	No	2018	Terzic, T	10.1177/1093526617723972
155	Lung Cancer	Anti-Cancer Therapy	anti-cancer therapy			n/a	TKIs , NCI-H1975, PC9	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	Cell Growth, Viability, EGFR, Erk1/2, and Akt	Low	Yes	Direct	Qualified externally	Low	No	2018	Codony-Servat, J	10.1016/j.jtho.2018.04.030
156	Acute Lymphoblastic Leukemia	Cancer initiation and develop.	cancer initiation and dev			n/a	NK T cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	IL-21R	Low	No	Direct	Proof of Concept	Low	No	2019	Zhao, HJ	10.1016/j.yexcr.2018.11.008
157	Colon Cancer	Immunotherapy	immunotherapy			n/a	 HCT-116, HT-29, RKO, SW480, and SW620	In vitro	Cells	Immortalized cells	Culture	3D	Spheroids	n/a	Disease mechanism (exp/theor)	FAS, Colony formation, migration	Low	No	Supportive	Qualified externally	Low	No	2019	Xiao, W	10.1158/1541-7786.MCR-18-0455
158	Lung Cancer	Cancer initiation and develop.	cancer initiation and dev			n/a	TILs	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	T cell counts, cytokines, IFN-gamma, IFN-alpha, IL-17	Low	Yes	Direct	Proof of Concept	Low	No	2017	Sheng, SY	10.1097/CJI.0000000000000147
159	Melanoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	U2OS, Colo829, Biopsies	In vitro	Cells / Ex vivo	Primary cell culture	Culture	3D	Organoids	Biopsies	Disease mechanism (exp/theor)	Pin1-FOXM1, cell cycle, Colony formation	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2016	Kruiswijk, F	10.1038/onc.2015.282
160	Colorectal Cancer	Immunotherapy	immunotherapy	 anti-cancer treatment		n/a	T-cells	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	T-cell response, PD-1 and Tim-3	Low	Yes	Direct	Proof of Concept	Low	No	2016	Liu, JW	10.1097/CJI.0000000000000122
161	Cervical Cancer	Anti-Cancer Therapy	anti-cancer therapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	IL-2	Low	Yes	Direct	Proof of Concept	Low	Yes	2016	Adi-Kusumo, F.	10.17654/MS099060869
162	General	Immunoprofiling	immunoprofiling			n/a	n/a	In silico	Algorithms	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	T-cell infiltration	Low	Yes	Direct	Proof of Concept	Low	Yes	2018	Koelzer, VH	10.1007/s00428-018-2485-z
