Model no.	Disease area	Disease feature	Category	Type	Application/ aim	Biological or disease-specific endpoint	Assay Throughput/ Content	Relevance	Potential/Future developments	DOI	Author name	Year
133	AD	Neuroinflammation	2D or 3D co-culture	Co-culture model (multiple cells)	Neuroprotection/neurotoxicity	BBB (dys-)function	Low-medium/medium	Complex model for the study of novel anti-inflammatory mechanism driven by the endothelial cell-mediated neuroprotective effects	Study of neuroprotective drugs for BBB	http://dx.doi.org/10.1007/s12031-017-0917-x	Wang	2017
134	AD	Protein aggregation	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	Model for simple, visual, and antibody-free determination of the relative amounts of Ab components on the neuronal cell surface	New tool for understanding/ exploring the pathology of AD and other neurodegenerative diseases such as Huntington's disease and Parkinson's disease, and further aim for drug development	http://dx.doi.org/10.1016/j.ab.2015.08.014	Wang	2015
135	AD	Protein aggregation	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease mechanism (exp/theor)	Protein dysfunction: Tau (phosphorylation)	Low-medium/low	understand tau interactome, though many more questions raised	further needs to explore questions raised	http://dx.doi.org/10.1074/mcp.M115.050724	Gunawardana	2015
136	PD	Neuronal loss	Human/patient primary or stem cells 	Multipotent human stem cells: neuronal	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/high	Human primary neuronal model that shows role of a-syn mechanism for inducing DNA cleavage, contributing to ROS or pro-oxidant metals, with relevance for PD pathology	Understanding mechanism contributes to prevention & therapy using models as a tool for testing	http://dx.doi.org/10.3233/JAD-170342	Vasquez	2015
137	PD	Neuronal loss	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/low	Transfected a-syn iPSC model show role of a-syn mechanism for inducing DNA cleavage, contributing to ROS or pro-oxidant metals, with relevance for PD pathology	Understanding mechanism contributes to prevention & therapy using models as a tool for testing	http://dx.doi.org/10.3233/JAD-170342	Vasquez	2015
138	Several NDD	Neuroinflammation	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Drug developm/ testing	Inflammation	High (automatic)/low	Limited relevance, but fast model as transfected cell line model, NF-κB Reporter (luciferase assay) for the detection of anti-inflammatory drugs for NDD , not very ND specific	Using reporter cell line, the anti-inflammatory potential and in vitro toxicity of anti-inflammatory drugs and biopharmaceuticals (for multiple diseases) can be investigated	http://dx.doi.org/10.1155/2017/6209865	Zeuner	2017
139	AD	Neuroinflammation	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Diagnosis of disease	Activation of microglia	Low-medium/low	biomarker for AD pathology	TMEM119 immunohistochemistry : useful tool for investigating  pathology of human microglia in AD	http://dx.doi.org/10.1111/neup.12235	Satoh	2016
140	AD	Neuroinflammation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Diagnosis of disease	Activation of microglia	Low-medium/medium	biomarker for AD pathology	TMEM119 immunohistochemistry : useful tool for investigating  pathology of human microglia in AD	http://dx.doi.org/10.1111/neup.12235	Satoh	2016
141	AD	Protein aggregation	Human-derived cell lines	Human-derived immortalised cell lines: non-neuronal, non CNS	Disease mechanism (exp/theor)	Protein dysfunction: Tau (phosphorylation)	Low-medium/low	link to disease pathology	Model to study tau pathology	http://dx.doi.org/10.4137/JEN.S25100	Houck	2015
142	AD	Protein aggregation	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	Transfected cell line , to be validated in human tissue: medium relevance	Not specified	http://dx.doi.org/10.1074/jbc.M114.602219	Prasad	2015
143	AD	Protein aggregation	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease mechanism (exp/theor)	Protein dysfunction: APP	Low-medium/low	Limited, contibute to mech understanding, but needs validation in more biological relevant models	Need for study in more biological relevant models (instead of immortalised cell line)	http://dx.doi.org/10.1074/jbc.M114.619940	Mehmedbasic	2015
144	AD	Protein aggregation	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease mechanism (exp/theor)	Protein dysfunction: APP	Low-medium/low	Model to investigate APP and role of astrocytes in AB prod	Activated astrocytes, in addition to neurons, appear to be an important therapeutic target in the treatment of AD pathology	http://dx.doi.org/10.1159/000438923 	Ourdev	2015
145	AD	Protein aggregation	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease mechanism (exp/theor)	Protein dysfunction: Tau (phosphorylation)	Low-medium/low	CHIP, important therapeutic target in the treatment of AD pathology	Model for drug development, with CHIP as target	http://dx.doi.org/10.3233/JAD-142094	Saidi	2015
146	AD	Neuronal loss	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease therapy developm	Multiple biological endpoints	Low-medium/low	link to disease pathology	model with PPARa activation with potential for therapy testing AB associated diseases	http://dx.doi.org/10.1007/s12640-014-9485-9	Cheng	2015
147	AD	Cholinergic dysfunction/degeneration	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease therapy developm	Changed protein expression	Low-medium/medium	Model for therapy (NGF release) -  cell tranplantation	Model to identifying molecules or compounds in the AD CSF that inhibit or promote the NGF-production and provide  new insights for therapeutic developments	http://dx.doi.org/10.1016/j.yexcr.2018.08.007	Eriksdotter	2018
148	AD	Energy metabolism	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease mechanism (exp/theor)	Mitochondrial dysfunction	Low-medium/medium	Limited, contibute to mech understanding, but needs validation in more advanced models	Model to understand the role of STIM1, and tool for development of new therapeutic targets but need for advanced cell	http://dx.doi.org/10.1007/s00109-018-1677-y	Pascual-Caro	2018
149	Several NDD	Protein aggregation	Human-derived cell lines	Human-derived immortalised cell lines: non-neuronal, non CNS	Diagnosis of disease	Protein dysfunction: Tau (phosphorylation)	Low-medium/low	biosensor tool for diagnosis tau pathology	Tau detection as NDD diagnosis in samples	http://dx.doi.org/10.3389/fnins.2018.00267	De Vos	2018
150	Several NDD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Diagnosis of disease	Protein dysfunction: Tau (phosphorylation)	Low-medium/medium	Study of Tau pathology	Tau detection as NDD diagnosis in samples	http://dx.doi.org/10.3389/fnins.2018.00267	De Vos	2018
151	AD	Protein aggregation	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	Model is relevant to study of fate of Ab in brain neuronal and glial cells	 Tool for therapy development based on Ab clearance	http://dx.doi.org/10.1371/journal.pone.0099939	Li	2014
152	AD	Protein aggregation	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease mechanism (exp/theor)	Protein dysfunction: Tau (phosphorylation)	Low-medium/low	Understand interaction between tau and AICD involving activation of GSK3β in promoting cell death, and the ability of Hirano bodies to modulate this process during aging	not specified	http://dx.doi.org/10.1186/1471-2202-15-74	Spears	2014
153	AD	Protein aggregation	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease mechanism (exp/theor)	Protein dysfunction: APP	Low-medium/low	Cell line model relevant for APP processing pathway in AD	Tool to perform mechanistic studies to identify modulators of A beta production & screen pharmacotherapeutics	http://dx.doi.org/10.1016/j.jneumeth.2013.11.024	Macias	2014
154	AD	Energy metabolism	2D or 3D co-culture	Co-culture model (multiple cells)	Disease mechanism (exp/theor)	Mitochondrial dysfunction	Low-medium/medium	Model relevant to study age dependent mitochondrial fct in relation to Ab  aggregation as link to AD pathology	not specified	https://www.ncbi.nlm.nih.gov/pubmed/22746213	Silva	2013
155	AD	Exploratory/ no specific feature	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Model/method validation	Protein dysfunction: APP	Low-medium/medium	Model relevant for characteristics for AD: changes of endogenous human tau and APP ; allow to evaluate effects of the neuronal maturation status and of neurotrophic factor signaling,	model for further investigation to gain mechanistic insights of AD progression	http://dx.doi.org/10.1016/j.neurobiolaging.2012.03.012	Scholz	2013
156	AD	Protein aggregation	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease mechanism (exp/theor)	BBB (dys-)function	Low-medium/low	BBB model to study Ab interference and integrity	not specified	http://dx.doi.org/10.1016/j.bbadis.2014.06.029	Qosa	2014
157	Several NDD	Exploratory/ no specific feature	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Model/method development - experim	Metabolomics analysis	Low-medium/medium	This model has been probed for alterations to polar metabolites that reflect changes within cells following challenge with different conformations of proteins thought to represent the pathogenic process related to neurodegeneration.	Approach applicable but improvement is needed using differentiated cell types	http://dx.doi.org/10.1007/s11306-017-1289-5	Phelan	2017
158	AD	Cholinergic dysfunction/degeneration	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease therapy developm	Cholinergic signalling/esterases	Low-medium/low	indicates that a specific N-terminal Ab epitope, or specific conformation of soluble Ab, may impair CHT (high-affinity choline transporter) activity. Therefore, Ab immunotherapy may be a more effective therapeutic strategy for slowing the progression of cognitive decline in AD than therapies designed to promote CHT cell surface levels.	for Ab immunotherapy	http://dx.doi.org/10.3389/fnmol.2017.00361	Cuddy	2017
159	AD	Neuronal loss	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Neuroprotection/neurotoxicity	Neurodegeneration: hippocampal or other	Low-medium/low	Differentiation of SH-SY5Y cells increased susceptibility to Aβ and allowed the description and quantification of pathological changes associated with primary neuronal cultures and patients with AD	Further study of the differentiated SH-SY5Y cells will aid understanding of the molecular mechanisms responsible for the pathological processes induced by amyloid peptides in cells of human origin	http://dx.doi.org/10.1371/journal.pone.0186636	Krishtal	2017
160	AD	Exploratory/ no specific feature	2D or 3D co-culture	Co-culture model (multiple cells)	Model/method development - experim	BBB (dys-)function	Low-medium/medium	Relevant complex model to study role of barrier fct & amyloid toxicity	Potential to identify new targets for prevention of Ab-induced BBB damage	http://dx.doi.org/10.1111/jnc.14068	Spampinato	2017
161	AD	Exploratory/ no specific feature	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Model/method development - experim	BBB (dys-)function	Low-medium/low	cell model derived from human temporal lobe microvessels ( isolated from tissue excised during surgery , epilepsy patient) is relevant to study cerebral Ab clearance, but still limitations and further needs defined	Need for co-culture of hCMEC/D3 cells with other cells of the BBB, e.g. astrocytes or pericytes, or applying shear stress to the cells, is more reflective of the physiological BBB and might therefore be necessary to improve the barrier formation limitations of hCMEC/D3	http://dx.doi.org/10.1002/jnr.23964	Biemans	2017
162	AD	Exploratory/ no specific feature	2D or 3D co-culture	Human-derived immortalised cell lines: neuronal	Model/method development - experim	BBB (dys-)function	Low-medium/medium	Triple culture assays enable in-depth analysis of the astrocyte and pericyte influence on the brain endothelial cell function	Model should further address whether disease- and aging-relevant stressors added exogenously, will promote angiogenesis and/or meshwork disruption.	http://dx.doi.org/10.3791/55846	Thomas	2014
163	AD	Exploratory/ no specific feature	2D or 3D co-culture	Co-culture model (multiple cells)	Disease therapy developm	Neurodegeneration: hippocampal or other	Low-medium/high	Model for regeneration of neurons : for the first time rported that hDPSC-treatment is therapeutically effective in an OA-induced (okaic-acid)  in vitro AD model, 	The present results give promising prospects for clinical application in the prevention and treatment of AD.	http://dx.doi.org/10.1002/cbin.10767	Wang	2017
164	AD	Protein aggregation	Human-derived cell lines	Human-derived immortalised cell lines: non-neuronal, non CNS	Diagnosis of disease	Protein dysfunction: Tau (phosphorylation)	Low-medium/medium	FRET technology (fluorescence resonance energy transfer) with cell model is applicable for diagnosis of other NDD	Assay to detect seeding activity of amyloid and other proteopathic seeds, such as a-synuclein, and is also compatible with primary neuronal cultures. The ease, sensitivity, and broad applicability of FRET flow cytometry makes it useful to study a wide range of protein aggregation disorders.	http://dx.doi.org/10.3791/53205	Furman	2015
165	AD	Protein aggregation	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease mechanism (exp/theor)	Changed gene expression	Low-medium/low	Limited disease relevance (se of immortalised cell model), but supported with human tissue studies	Not specified	https://www.ncbi.nlm.nih.gov/pubmed/25973041	Lei	2015
166	AD	Protein aggregation	Human-derived cell lines	Human-derived immortalised cell lines: non-neuronal, non CNS	Disease mechanism (exp/theor)	Changed gene expression	Low-medium/low	Limited disease relevance (se of immortalised cell model), but supported with human tissue studies	Not specified	https://www.ncbi.nlm.nih.gov/pubmed/25973041	Lei	2015
167	AD	Neuroinflammation	Human-derived cell lines	Human-derived immortalised cell lines: non-neuronal, non CNS	Disease mechanism (exp/theor)	Inflammation	Low-medium/low	Transfected cell line models provide new insights into the mechanism underlying the regulation of FtMt expression by proinflammatory cytokines 	Further  role for FtMt in AD pathogenesis and process of neuroinflammation to be investigated	http://dx.doi.org/10.3233/JAD-142595	Yang	2015
168	AD	Neuroinflammation	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease mechanism (exp/theor)	Inflammation	Low-medium/low	Transfected cell line models provide new insights into the mechanism underlying the regulation of FtMt expression by proinflammatory cytokines 	Further  role for FtMt in AD pathogenesis and process of neuroinflammation to be investigated	http://dx.doi.org/10.3233/JAD-142595	Yang	2015
169	AD	Protein aggregation	2D or 3D co-culture	Co-culture model (multiple cells)	Model/method development - experim	Protein dysfunction: amyloid peptide (any version)	Low-medium/high	Multidimensional, human based model relevant for CAA & AD	3R potential: Potential to study how to deliver new drugs that could help treat Alzheimer’s disease into the brain.	http://dx.doi.org/10.7554/eLife.29595	Robert	2017
170	AD	Protein aggregation	2D or 3D co-culture	Co-culture model (multiple cells)	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/high	First human cellular model to comprehensively show Aβ-driven tauopathy	Multiple future investigations : at level of disease mechanism and for therapy developm	http://dx.doi.org/10.1038/nprot.2015.065	Kim	2017
171	AD	Neuroinflammation	Human-derived cell lines	Co-culture model (multiple cells)	Disease mechanism (exp/theor)	Inflammation	Low-medium/medium	role of AB towards viral activity	not specified	http://dx.doi.org/10.3233/JAD-150652	Bourgade	2016
172	Several NDD	Exploratory/ no specific feature	2D or 3D co-culture	Co-culture model (multiple cells)	Model/method development - experim	BBB (dys-)function	Low-medium/high	Biological complex model with different cell types for multiple functions of BBB 	Powerful tool for research on human BBB physiology and pathology	http://dx.doi.org/10.1021/acsami.8b03962	Qi	2018
173	AD	Exploratory/ no specific feature	2D or 3D co-culture	Co-culture model (multiple cells)	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/high	Might of interest for 3R scope: 3D disease model with complexity for multiple purposes	Model for reductionist investigation of AD therapeutic agents	http://dx.doi.org/10.1016/j.devcel.2018.06.005	Papdimitriou	2018
174	AD	Exploratory/ no specific feature	2D or 3D co-culture	Neurospheres/3D model	Model/method validation	Changed protein expression	High (automatic)/medium	relevant to AD human brain based on protein expression & fct 	model reflects the status and progression of AD pathogenesis, and protein profiles can support study of mechanisms or discovery of drugs	10.1016/j.jprot.2018.04.032	Chen	2018
175	AD	Exploratory/ no specific feature	2D or 3D co-culture	Co-culture model (multiple cells)	Model/method development - experim	BBB (dys-)function	Low-medium/high	Complexity of model with muliple cells, relevant for brain diseases	Valuable tool for future studies on the specific roles of individual BBB cell type	http://dx.doi.org/10.1038/s41598-018-26480-8	Miranda-Aspiazu	2018
176	AD	Protein aggregation	2D or 3D co-culture	Multipotent human stem cells: neuronal	Disease therapy developm	Protein dysfunction: Tau (phosphorylation)	High (automatic)/medium	Relevant model representing  disease features in 3 D structure	Model for therapy development: this technology will be extremely useful for studying other protein aggregation diseases such as Huntington’s disease, ALS, or Parkinson’s disease, provided the availability of high-affinity antibodies.	http://dx.doi.org/10.1177/1087057116638029	Medda	2016
177	AD	Protein aggregation	2D or 3D co-culture	Human-derived immortalised cell lines: neuronal	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/medium	3D relevant disease model to study AB interaction	Model to understand the signaling pathways activated specifically upon contact between neurites and preformed aggregates to induce neurite dystrophy and neuronal cell death characteristic of Alzheimer disease	http://dx.doi.org/10.1016/j.actbio.2016.04.001	Labour	2016
178	AD	Protein aggregation	2D or 3D co-culture	Multipotent human stem cells: neuronal	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/high	3d structure with human neural stem cell representing brain complexity	model to study disease mechanism & potential for drug screening	http://dx.doi.org/10.1038/nature13800	Choi	2014
179	AD	Protein aggregation	Human/patient primary or stem cells 	Differentiated human cells: neuronal	Disease therapy developm	Protein dysfunction: amyloid peptide (any version)	Low-medium/medium	Model for testing immunotherapeutic agents?	not specified	http://dx.doi.org/10.1371/journal.pone.0188191	Montoliu-Gaya	2017
180	AD	Protein aggregation	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	Low-medium/medium	CRISPR-induced patient skin fibroblasts may enable faster genetic or drug screenings and mechanistic studies of APP processing in the context of larger cohorts of sporadic AD patients	Future interest to utilize this activated CRISPR skin fibroblast model system to probe the roles of additional genetic modifiers of sporadic AD risk, such as APOE isoforms	http://dx.doi.org/10.1016/j.celrep.2017.10.075	Inoue	2017
181	AD	Protein aggregation	Human/patient primary or stem cells 	Multipotent human stem cells: neuronal	Disease mechanism (exp/theor)	Protein dysfunction: Tau (phosphorylation)	Low-medium/medium	Human neuronal model facilitates observation of the mechanisms of tangle formation as well as the regulation of seeding and intercellular disease transmission, providing a more physiologically and pathologically relevant model for studying human tauopathieshuman relevance is shown (human model better perform for tau aggregatian than rat model)	This hiPSC system can serve as a human neuronal model for studying tauopathy, neurodegeneration, and the mechanisms of pathological seed propagation both in vitro and in vivo	http://dx.doi.org/10.1016/j.nbd.2017.06.005	Reilly	2017
182	AD	Protein aggregation	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/medium	Model to study synaptotoxic effects of aB	Cellular AD model based on human iPSC-derived cortical neurons that enables the mechanistic analysis of Aβ-induced synaptic pathomechanisms and the development of novel therapeutic approaches	http://dx.doi.org/10.1038/cddis.2015.72	Nieweg	2015
183	AD	Exploratory/ no specific feature	2D or 3D co-culture	Neurospheres/3D model	Disease therapy developm	Multiple biological endpoints	Low-medium/medium	3D environment offers anatomical similarities to mature brain, but drug exposure seems less than similar 2D conditions and less suitable for chronic exposure	First iPSC-differentiated 3Dneuro-spheroid model derived from AD patients' blood: the 3D human neuro-spheroid model can be a physiologically relevant and valid model for testing efficacy of AD drug.	http://dx.doi.org/10.1371/journal.pone.0163072	Lee	2016
184	Several NDD	Exploratory/ no specific feature	2D or 3D co-culture	Non-differentiated human stem cells : iPSC	Model/method development - experim	Multiple biological endpoints	Low-medium/medium	3-D neural models with multiple neuronal subtypes is better simulation of brain for disease modelling	Potential of 3-D neural models from hiPSCs for identification of therapeutic drugs for the treatment of neurological diseases that only affect specific types of neural cells	http://dx.doi.org/10.1016/j.actbio.2016.06.027	Yan	2016
185	Several NDD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Model/method development - experim	Multiple biological endpoints	Low-medium/medium	microglia-like cells in vitro from human pluripotent stem cells exhibit characteristics & fct relevant for NDD study	model for better mechanistic understanding of microglial function & ontogeny for role in diseases	http://dx.doi.org/10.1177/1759091417716610	Amos	2017
186	AD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/medium	iPSC-derived hematopoietic progenitor cells and microglia-like cells in high yield can be used in functional assays to interrogate microglia function	potential of iMGLs as a renewable source of patient-derived, microglial-like cells to study role of microglia in NDD & explore transplantation therapy	http://dx.doi.org/10.1016/j.neuron.2017.03.042	Abud	2017
187	AD	Protein aggregation	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/medium	Relevant iPSC model expressing the six adult tau isoforms for  investigating their specific functions and contribution to dysfunction. Demonstration that MAPT mutations cause common and specific phenotypes will improve the understanding of disease mechanisms prompting the search for new therapies for tauopathies	The model of coculture IPSC-derived neurons with glial cells allows to clarify whether and how astrocytes, microglia and oligodendrocytes contribute to development of tau pathology.	http://dx.doi.org/10.1093/brain/awv222	Iovino	2015
188	AD	Protein aggregation	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Protein dysfunction: APP	High (automatic)/medium	Validated platform for neuroscience research provides a powerful and unique single-cell technology for the field: this allowed  to identify previously unappreciated complexities in the biology of APP cleavage that could not otherwise have been found by studying averaged responses over pools of cells.	Technique can be readily adapted to the detection of other analytes secreted by neuronal and glial cells, an analysis platform with  potential  into human CNS development and dysfunction.	http://dx.doi.org/10.1523/JNEUROSCI.2735-15.2016	Liao	2016
189	AD	Protein aggregation	Human/patient primary or stem cells 	Non-differentiated human stem cells : embryonic	Disease mechanism (exp/theor)	Protein dysfunction: APP	Low-medium/medium	our AD models showed synaptic dysfunction, indicating that our AD model has an advantage in the study of synaptic abnormalities using healthy and diseased cells (which was lacking in iPSC according to  Sproul et al, 2015).	Future studies should address the cause of the synaptic abnormality in our AD models. Also, like the reduction of Ab production, the restoration of synaptic dysfunction in our AD models might be a useful indicator in discovering drugs to treat AD.	http://dx.doi.org/10.1016/j.bbrc.2015.12.025	Honda	2016
190	AD	Neuroinflammation	Human/patient primary or stem cells 	Differentiated human cells: neuronal	Disease mechanism (exp/theor)	Inflammation	Low-medium/medium	Cel model provides support for a role of CK2 in neuroinflammation suggesting that CK2 could act as a potential target for modulating the inflammatory response in AD.	The mechanistic knowledge on CK2, allow therapeutic developm for AD 	http://dx.doi.org/10.1186/s12974-015-0470-x	Rosenberger	2016
191	AD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/medium	The neuronal cells expressed numerous genes associated with sub-regions within the brain thus suggesting the usefulness of our in-vitro model	tool to study the underlying molecular basis of sporadic AD, (ii) a platform for drug screening and toxicology studies which might unveil novel therapeutic avenues for this debilitating neuronal disorder	http://dx.doi.org/10.1186/s12864-015-1262-5	Hossini	2015
192	AD	Protein aggregation	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Protein dysfunction: multiple	Low-medium/medium	show interaction of tau and Ab in a disease-perpetuating loop 	mechanistic understanding allows to develop strategy for therapy development	http://dx.doi.org/10.1016/j.neurobiolaging.2014.09.007	Bright	2015
193	AD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Differentiated human cells: non-neuronal, non-CNS	Diagnosis of disease	Multiple biological endpoints	Low-medium/medium	PBMC of patients is model to study the role that TL (telomere length) may have  as predictive marker of AD progression rate	Further necessary to clarify the mechanisms responsible for the different course of the pathology in ADS (slow progressing) and ADF (fast progressing AD)	http://dx.doi.org/10.3233/JAD-142808	Tedone	2015
194	Several NDD	Protein aggregation	Biochemical/cell-free assay	Oligomers	Diagnosis of disease	Protein dysfunction: multiple	High (automatic)/low	Relevant method for diagnosis: SR images of protein aggregates	Yielding further insights into the progression of neurodegenerative diseases.	http://dx.doi.org/10.1002/cbic.201800209	Whiten	2018
195	AD	Neuroinflammation	Human/patient primary or stem cells 	Differentiated human cells: neuronal	Disease mechanism (exp/theor)	Inflammation	Low-medium/medium	Relevant model to study several of these PU.1-regulated genes are expressed by microglia in the human AD brain in situ.	PU.1 expression may be a valid therapeutic target to prevent microglial mediated neurodegeneration.	http://dx.doi.org/10.1186/s13024-018-0277-1	Rustenhoven	2018
196	AD	Protein aggregation	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Protein dysfunction: APP	Low-medium/medium	Study did show novel function of FL APP (full length Amyloid precursor protein)  in controlling LDL receptor-mediated cholesterol metabolism and Aβ clearance in human astrocytes. These findings suggest that FL APP may have a more central role in the etiology of AD than previously suspected	Further exploration of role of FL APP in ethiology of disease	http://dx.doi.org/10.1074/jbc.RA117.000441	Fong	2018
197	AD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/medium	Model to study targeting glia-mediated Ab clearance and lipid biogenesis/metabolism 	Human APOE isogenic iPSCs offer a powerful set of useful tools to evaluate Ab clearance and lipid biogenesis/metabolism	http://dx.doi.org/10.1016/j.neuron.2018.05.008	Lin	2018
198	AD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/low	Mechanism study of insulin and AB aggregation	not specified	http://dx.doi.org/10.1186/s13024-018-0265-5	Moreno	2018
199	AD	Exploratory/ no specific feature	2D or 3D co-culture	Human-derived immortalised cell lines: non-neuronal, non CNS	Disease mechanism (exp/theor)	Inflammation	Low-medium/medium	this cellular model is yet a valuable tool for studying the role of cytokines in AD, as it has been previously reported that in AD patients the concentrations of peripheral cytokines (such as TNF alpha, IL-6, IL-1, TGF-β, IL-12 and IL-18) are significantly higher than in healthy controls	Potential to develop cellular biosensors and evaluate the amount of amyloid accumulation per unit time	http://dx.doi.org/10.1016/j.intimp.2018.04.012	Dezfulian	2018
200	AD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Differentiated human cells: neuronal	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/high	Relevant as neuronal source, post mortem material neuropathologically diagnosed	Models to test mechanistic hypotheses as well as diagnostic and therapeutic strategies in association with neuropathology, clinical and cognitive data, and biomarker studies, aiding in the study of lateonset Alzheimer disease	http://dx.doi.org/10.1093/jnen/nly013	Rose	2018
201	AD	Protein aggregation	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Protein dysfunction: Tau (phosphorylation)	Low-medium/medium	In vitro/in vivo relevance shown, different tau kinetics	Novel tau SILK methods should prove useful in future studies aimed at determining the mechanism behind alterations in tau kinetics in tauopathies such as AD in humans and in cell culture	http://dx.doi.org/10.1016/j.neuron.2018.02.015	Sato	2018
202	AD	Protein aggregation	Human/patient primary or stem cells 	Differentiated human cells: neuronal	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/medium	Biological mechanism: naturally secreted Ab oligomers regulate the proliferation, differentiation and migration of human NSCs via the GSK-3b signaling pathway.	Development of human NSC-based treatment for AD patients by facilitating an increased understanding of the relationships between the properties of NSCs and Ab oligomers	http://dx.doi.org/10.1038/emm.2013.125 	Lee	2013
203	AD	Neuroinflammation	Human/patient primary or stem cells 	Differentiated human cells: neuronal	Disease mechanism (exp/theor)	Inflammation	Low-medium/medium	In vitro relevant model: human brain pericytes as well as microglia and astrocytes can generate a pro-inflammatory response after immune challenge 	Potential to design and screen drugs that reduce pericyte-mediated inflammation, which is beneficial in restoring BBB function and reducing brain inflammation and injury in Alzheimer’s disease, or other NDD	http://dx.doi.org/10.1186/1742-2094-11-104 	Jansson	2014
204	AD	Protein aggregation	Human/patient primary or stem cells 	Differentiated human cells: neuronal	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/medium	Model not able to differentiate for Ab uptake in cells (astrocytes/microglia ) of control & AD patients	Further study on targeting the association of Ab with AAPs, such as ApoE and ApoJ, could serve as a therapeutic strategy to increase Ab clearance by glial cells	http://dx.doi.org/10.1002/glia.22619 	Mulder	2014
