Model #	Disease Area	Disease Feature	Category	Type	Application	Application Sub-Category	Biological Endpoints	Throughput	Relevance	Status	Year	First Author Name	DOI	
114	Cardiovascular Abnormalities including CCD 	NA	in vitro without cells	NA	Disease therapy development	Treatment strategies evaluation	Double outlet right ventricle	Not relevant (e.g. in silico)	Supportive	Under validation	2016	Farooqi K.M.	10.1177/2150135115610285	
115	Aneurysm	Aorta	in silico	FEM	Diagnosis of disease	Disease etiology and risk factors	Aneurysm rupture	Not relevant (e.g. in silico)	Predictive	Under development 	2019	Farzaneh S.	10.1007/s10237-018-1073-0	
116	Cardiomyopathies 	NA	in vitro with cells	3D culture	Disease therapy development	Treatment strategies evaluation	Cardiac patches realisation feasibility	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Feiner R.	10.1016/j.jconrel.2018.05.023	
117	Cardiovascular Surgical and interventional Procedures	Reperfusion	in vitro with cells	2D culture 	Disease therapy development	General disease effects on the body	Hypoxia/reoxygenation injury	Medium / Low (Lab scale)	Supportive	Optimisation	2018	Femminò S.	10.3390/polym10020211	
118	Aneurysm	Aorta	in vitro without cells	NA	Disease therapy development	Prediction of device effects	Grafts for aneurysm and dissections	Not relevant (e.g. in silico)	Supportive	Under validation	2019	Ferrari G.	10.1016/j.jbiomech.2019.01.053	
119	Myocardia Ischemia	NA	in vitro without cells	NA	Disease therapy development	Prediction of post-intervention outcomes	Coronary bifurcation stenting	Not relevant (e.g. in silico)	Supportive	Under development 	2015	Finet G.	10.1016/j.jcin.2015.05.016	
120	Cardiomyopathies 	NA	in vitro with cells	3D culture	Disease therapy development	Treatment strategies evaluation	Human iPSC cardiomyocytes production	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Fischer B.	10.1016/j.scr.2018.08.015	
121	Myocardia Ischemia	NA	in vitro without cells	NA	Diagnosis of disease	Diagnosis of diseases	Coronary artery fistulae	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Forte M.N.V.	10.4244/EIJ-D-16_00897	
122	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Device development	Intracranial aneurysms 	Medium / Low (Lab scale)	Supportive	Optimisation	2016	Frölich A.M.J.	10.3174/ajnr.A4486	
123	Heart Valve Diseases 	Mitral Valve	in silico	FEM	Disease therapy development	Surgical and/or interventional planning	TMVR outcome prediction	Not relevant (e.g. in silico)	Predictive	Under development 	2019	Gaidulis G.	10.15388/NA.2019.4.1	
124	Cardiovascular Abnormalities including CCD 	NA	in silico	FEM	Diagnosis of disease	Diagnosis of diseases	Aortic arch rupture risk	Not relevant (e.g. in silico)	Supportive	Under development 	2014	García-Herrera C.M. & Celentano D.J.	10.1007/s10237-013-0471-6	
125	Myocardia Ischemia	NA	in silico	FEM	Disease therapy development	Treatment strategies evaluation	Coronary stent therapy	Medium / Low (Lab scale)	Supportive	Under validation	2014	Gassenmaier T.	10.1007/s00330-014-3323-6	
126	Aneurysm	Aorta	in silico	FEM	Diagnosis of disease	Disease etiology and risk factors	Aneurysm rupture	High (Automated)	Predictive	Under validation	2014	Gasser T.C.	10.1016/j.ejvs.2013.12.018	
127	Occlusive Disease 	Carotid	in vitro without cells	NA	Disease mechanism (exp/theor)	Disease etiology and risk factors	Carotid atherosclerotic plaque	Not relevant (e.g. in silico)	Supportive	Under development 	2013	Geoghegan P.H.	10.1007/s00348-013-1528-0	
128	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Disease mechanism (exp/theor)	Prosthesis effectiveness evaluation	Transcatheter aortic valve implantation	Not relevant (e.g. in silico)	Supportive	Optimisation	2014	Gessat M.	10.1109/TBME.2013.2273496	
129	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Diagnosis of disease	Prosthesis effectiveness evaluation	Polymeric aortic valve	Not relevant (e.g. in silico)	Direct	Standardised 	2018	Gharaie S.H.	10.1007/s13239-018-0340-7	
130	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Diagnosis of disease	Treatment strategies evaluation	Aortic calcification	Not relevant (e.g. in silico)	Direct	Standardised 	2018	Ghosh R.P.	10.1115/1.4040600	
131	Arrhythmias	Arrhythmias, Cardiac	in vitro with cells	2D culture 	Disease therapy development	Diagnosis of diseases	Functional assessment of arrhythmia response to drugs	High (Automated)	Supportive	Under validation	2015	Gilchrist K.H.	10.1016/j.taap.2015.07.024	
132	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Prediction of post-intervention outcomes	Abdominal aortic aneurysm	Not relevant (e.g. in silico)	Predictive	Under development 	2017	Gindre J.	10.1109/TBME.2016.2587362	
133	Cardiovascular Abnormalities including CCD 	NA	ex vivo	NA	Disease mechanism (exp/theor)	Disease mechanism and progression	Congenital heart disease	High (Automated)	Predictive	Under development 	2014	Glessner J.T.     	10.1161/CIRCRESAHA.115.304458	
134	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	ex vivo	NA	Disease mechanism (exp/theor)	Treatment strategies evaluation	Vascular genetic reactivity	Medium / Low (Lab scale)	Supportive	Optimisation	2018	Glória S.	10.1016/j.tiv.2018.03.006	
135	Heart Failure 	NA	in silico	others (including analytical models, cell population dynamics etc.)	Disease therapy development	Treatment strategies evaluation	LVAD systems hemodynamic comparison	Not relevant (e.g. in silico)	Predictive	Under development 	2013	Gohean J.R.	10.1097/MAT.0b013e31827db6d4	
136	Myocardia Ischemia	NA	in silico	FEM	Disease therapy development	Prediction of post-intervention outcomes	Coronary plaques	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Gökgöl C.	10.1007/s10439-017-1803-y	
137	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Treatment strategies evaluation	Aortic coarctation 	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Goubergrits L.	10.1007/s10439-014-1116-3	
138	Myocardia Ischemia	NA	in silico	FEM	Diagnosis of disease	Prediction of post-intervention outcomes	Coronary artery stenosis	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Govindaraju K.	10.1016/j.atherosclerosis.2014.01.043	
139	Heart Valve Diseases 	Mitral Valve	in vitro with cells	3D culture	Disease therapy development	Prosthesis development	Mitral valve scaffold realisation feasibility	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Granados M.	10.1007/s12265-017-9747-z	
140	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Diagnosis of disease	Prosthesis effectiveness evaluation	Rotary blood pumps interactions	Not relevant (e.g. in silico)	Supportive	Optimisation	2016	Granegger M.	10.1109/TBME.2015.2489188	
141	Heart Valve Diseases 	Aortic Valve	in vitro without cells	NA	Disease therapy development	Treatment strategies evaluation	Valve insufficiency	Not relevant (e.g. in silico)	Predictive	Under development 	2014	Granegger M.	10.1111/aor.12167	
142	Heart Valve Diseases 	Mitral Valve	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	Repair procedure evaluation	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Grbic S.	10.1016/j.media.2016.03.011	
143	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro with cells	3D culture	Disease mechanism (exp/theor)	Treatment strategies evaluation	Hypertension complications	Medium / Low (Lab scale)	Supportive	Under development 	2017	Greaney J.L.	10.1161/HYPERTENSIONAHA.116.08964	
144	Occlusive Disease 	Carotid	in silico	FEM	Diagnosis of disease	Prediction of post-intervention outcomes	Carotid atherosclerotic plaque	Not relevant (e.g. in silico)	Supportive	Under development 	2016	Guerciotti B.	10.1016/j.jbiomech.2015.11.009	
145	Heart Valve Diseases 	Mitral Valve	in vitro without cells	NA	Disease mechanism (exp/theor)	Disease mechanism and progression	Chordae tendineae calcification 	Medium / Low (Lab scale)	Predictive	Under validation	2016	Gunning G.M. & Murphy B.P.	10.1016/j.jmbbm.2016.01.009	
146	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Device effectiveness evaluation	Transcatheter aortic valve replacement	Not relevant (e.g. in silico)	Supportive	Under validation	2014	Gunning P.S.	10.1007/s10439-014-1008-6	
147	Arrhythmias	Arrhythmias, Cardiac	in vitro with cells	2D culture 	Disease therapy development	Treatment strategies evaluation	Prediction of QT prolongation;  evaluation of cardiac safety liabilities of drug candidates	Medium / Low (Lab scale)	Supportive	Under validation	2013	Guo L.	10.1093/toxsci/kft205	
148	Cardiomyopathies 	NA	in vitro with cells	3D culture	Disease therapy development	Treatment strategies evaluation	Human myocardium matrix realisation feasibility	Not relevant (e.g. in silico)	Supportive	Under development 	2016	Guyette J.P.	10.1161/CIRCRESAHA.115.306874	
149	Heart Valve Diseases 	Aortic Valve	ex vivo	NA	Diagnosis of disease	Disease etiology and risk factors	Aortic calcification	Medium / Low (Lab scale)	Predictive	Under validation	2016	Hadji F.	10.1161/CIRCULATIONAHA.116.023116	
150	Cardiomyopathies 	NA	in silico	FEM	Diagnosis of disease	Disease mechanism and progression	Myocardial Stiffness measurement	Medium / Low (Lab scale)	Supportive	Under development 	2017	Hadjicharalambous M.	10.1007/s10439-016-1721-4	
151	Cardiovascular Abnormalities including CCD 	NA	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	Fontan connection	High (Automated)	Supportive	Under development 	2014	Haggerty C.M. 	10.1016/j.jtcvs.2013.11.060	
152	Heart Valve Diseases 	Mitral Valve	in vitro with cells	2D culture 	Diagnosis of disease	Disease etiology and risk factors 	Mitral valve remodeling evaluation	Medium / Low (Lab scale)	Predictive	Under validation	2013	Hagler M.A.	10.1093/cvr/cvt083	
153	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Diagnosis of disease	Disease mechanism and progression	Aortic calcification	Not relevant (e.g. in silico)	Direct	Standardised 	2018	Halevi R.	10.1115/1.4040338	
154	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Device development	Vascular hemodynamics	Not relevant (e.g. in silico)	Supportive	Under development 	2016	Han X.	10.1088/1758-5090/8/2/025018	
155	Cardiomyopathies 	NA	in silico	FEM	Diagnosis of disease	Disease etiology and risk factors 	Left ventricular thrombosis evaluation	Medium / Low (Lab scale)	Predictive	Under development 	2017	Harfi T.T.	10.1016/j.ijcard.2016.10.079	
156	Aneurysm	Cerebral	ex vivo	NA	Disease therapy development	Treatment strategies evaluation	Thrombus formation	Not relevant (e.g. in silico)	Supportive	Under development 	2015	Haworth K.J.	10.1136/neurintsurg-2013-011076	
157	Arrhythmias	Arrhythmias, Cardiac	in silico	FEM	Disease therapy development	Disease mechanism and progression	Effects of arrhythmia on ventricular contraction	Not relevant (e.g. in silico)	Predictive	Under development 	2018	Heikhmakhtiar A.K.	10.3389/fphy.2018.00147	
158	Aneurysm	Aorta	in silico	FEM	Disease therapy development	Device development	Aneurysm endovascular repair	Not relevant (e.g. in silico)	Predictive	Under development 	2019	Hemmler A.	10.1007/s10237-019-01125-5	
159	Aneurysm	Aorta	in silico	FEM	Disease therapy development	Prediction of device effects	Aneurysm endovascular repair	Not relevant (e.g. in silico)	Predictive	Under development 	2018	Hemmler A.	10.1007/s10237-018-1020-0	
160	Cardiomyopathies 	NA	in vitro without cells	NA	Disease therapy development	Treatment strategies evaluation	Septal myectomy	Medium / Low (Lab scale)	Direct	Under development 	2018	Hermsen J.L.	10.1016/j.jtcvs.2017.09.136	
161	Heart Valve Diseases 	Pulmonary Valve	in silico	FEM	Disease mechanism (exp/theor)	Prediction of prosthesis profile	Valve mechanics	Not relevant (e.g. in silico)	Supportive	Standardised 	2015	Heyden S.	10.1016/j.jbiomech.2015.10.043	
162	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro with cells	3D culture	Diagnosis of disease	Device development	Tissue and organ replacement therapies	Medium / Low (Lab scale)	Predictive	Under development 	2015	Hinderer S.	10.1002/adhm.201400762	
163	Heart Valve Diseases 	Aortic Valve	in vitro with cells	3D culture	Disease therapy development	Disease mechanism and progression	Aortic calcification	Not relevant (e.g. in silico)	Supportive	Under validation	2016	Hjortnaes J.	10.1016/j.yjmcc.2016.03.004	
164	Heart Valve Diseases 	Aortic Valve	in vitro with cells	2D culture 	Disease therapy development	Disease mechanism and progression	Aortic calcification	Not relevant (e.g. in silico)	Supportive	Under validation	2015	Hjortnaes J.	10.1016/j.atherosclerosis.2015.07.008	
165	Cardiovascular Abnormalities including CCD 	NA	ex vivo	NA	Disease mechanism (exp/theor)	Disease mechanism and progression	Congenital heart disease	High (Automated)	Predictive	Under development 	2015	Homsy J.  	10.1126/science.aac9396	
166	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Disease therapy development	Treatment strategies evaluation	Paravalvular leak	Not relevant (e.g. in silico)	Predictive	Optimisation	2017	Hopf R.	10.1016/j.jbiomech.2016.12.038	
167	Occlusive Disease 	Peripheral vessel	in silico	FEM	Disease therapy development	Device effectiveness evaluation	Vascular stent resistence evaluation	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Hsiao H.-M.	10.1016/j.commatsci.2014.01.023	
168	Cardiovascular Surgical and interventional Procedures	Cardiac Surgical Procedures	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Treatment strategies evaluation	Inflammation related to platelet and leukocyte	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Huang G.-S.	10.1097/SHK.0000000000000972	
169	Occlusive Disease 	Carotid	in silico	FEM	Disease mechanism (exp/theor)	Disease etiology and risk factors	Carotid atherosclerotic plaque	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Huang Y.	10.1016/j.jbiomech.2014.01.030	
170	Heart Valve Diseases 	Aortic Valve	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Aortic calcification	Not relevant (e.g. in silico)	Predictive	Under validation	2016	Huk D.J.	10.1161/ATVBAHA.115.306091	
171	Heart Failure 	NA	in silico	FEM	Disease therapy development	Treatment strategies evaluation	Lead position effect on cardiac resynchronisation	Not relevant (e.g. in silico)	Predictive	Under development 	2014	Huntjens P.R.	10.1093/europace/euu231	
172	Heart Valve Diseases 	Aortic Valve	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Aortic calcification	Not relevant (e.g. in silico)	Predictive	Under validation	2013	Hutcheson J.D.	10.1161/ATVBAHA.112.300278	
173	Heart Failure 	NA	in silico	FEM	Disease therapy development	Treatment strategies evaluation	Cardiac resynchronisation outcomes prediction	Not relevant (e.g. in silico)	Supportive	Under development 	2015	Hyde E.R.	10.1161/CIRCEP.115.002677	
174	Aneurysm	Cerebral	in silico	FEM	Diagnosis of disease	Prediction of post-intervention outcomes	Aneurysm stent repair	Not relevant (e.g. in silico)	Supportive	Under development 	2016	Iannaccone F.	10.1007/s10439-015-1505-2	
175	Occlusive Disease 	Carotid	in silico	FEM	Disease mechanism (exp/theor)	Prediction of device effects	Stenting procedure for severe carotid stenosis	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Iannaccone F.	10.1016/j.jbiomech.2014.01.008	
176	Myocardia Ischemia	NA	in vitro without cells	NA	Diagnosis of disease	Treatment strategies evaluation	Coronary bifurcation lesions	Not relevant (e.g. in silico)	Supportive	Under development 	2015	Ishibashi Y.	10.1002/ccd.25618	
177	Myocardia Ischemia	NA	in vitro with cells	3D culture	Disease therapy development	Treatment strategies evaluation	Myocardial infarction repair	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Izadifar M.	10.1089/ten.tec.2017.0346	
178	Arrhythmias	Arrhythmias, Cardiac	in vitro with cells	2D culture 	Disease therapy development	Disease mechanism and progression	Assessment of antiarrhythmic potential of drug candidates	Medium / Low (Lab scale)	Unknown	Under development 	2018	Izumi-Nakaseko H.	10.1016/j.jphs.2018.07.011	
179	Aneurysm	Cerebral	in silico	FEM	Disease therapy development	Treatment strategies evaluation	Aneurysm stent repair	Not relevant (e.g. in silico)	Supportive	Under development 	2013	Janiga G.	10.1016/j.jbiomech.2012.08.047	
180	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Treatment strategies evaluation	Coronary artery disease	Not relevant (e.g. in silico)	Predictive	Under development 	2019	Jaquet C.	10.1109/TBME.2018.2865667	
181	Occlusive Disease 	Carotid	in silico	FEM	Disease mechanism (exp/theor)	Device effectiveness evaluation	Heart failure	Not relevant (e.g. in silico)	Predictive	Under development 	2015	Jung B.	10.1016/j.jtcvs.2015.02.048	
182	Heart Valve Diseases 	Mitral Valve	in silico	FEM	Disease therapy development	Surgical and/or interventional planning	Mitral valve regurgitation	Not relevant (e.g. in silico)	Predictive	Under development 	2019	Kamakoti R.	10.1038/s41598-019-52342-y	
183	Heart Valve Diseases 	Pulmonary Valve	in silico	others (including analytical models, cell population dynamics etc.)	Disease therapy development	Prosthesis development	Narrowed/leaking pulmonary valve	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Kan C.-D.	10.1109/ACCESS.2018.2815599	
184	Heart Valve Diseases 	Mitral Valve	in silico	FEM	Disease therapy development	Prediction of prosthesis profile	TMVR outcome prediction	Medium / Low (Lab scale)	Predictive	Optimisation	2018	Karády J.	10.1016/j.jcct.2017.12.007	
185	Cardiomyopathies 	NA	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Gene correction effectiveness on R14del mutation	Medium / Low (Lab scale)	Supportive	Under development 	2015	Karakikes I.	10.1038/ncomms7955	
186	Arrhythmias	Arrhythmias, Cardiac	in silico	FEM	Disease mechanism (exp/theor)	Disease effects on specific organs	Understanding of ventricular fibrillation risk induced by drugs	Not relevant (e.g. in silico)	Predictive	Optimisation	2016	Karathanos T.V.	10.1113/JP271739	
187	Arrhythmias	Arrhythmias, Cardiac	in silico	FEM	Disease therapy development	Treatment strategies evaluation	Optogenetic mechanisms to restore normal duration of cardiac action potential	Not relevant (e.g. in silico)	Predictive	Under development 	2014	Karathanos T.V.	10.1093/europace/euu250	
188	Heart Failure 	NA	in vitro without cells	NA	Disease therapy development	Device development	LVAD Cannula effect	Not relevant (e.g. in silico)	Direct	Under development 	2017	Karimov J.H.	10.1016/j.healun.2016.09.004	
189	Heart Failure 	NA	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	Electromechanical model of failing heart	Not relevant (e.g. in silico)	Predictive	Under development 	2015	Kayvanpour E.    	10.1371/journal.pone.0134869	
190	Myocardia Ischemia	NA	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Diagnosis of diseases	Acute myocardial infarction	High (Automated)	Direct	Optimisation	2017	Kemper D.W.	10.1016/j.clinbiochem.2016.11.011	
191	Heart Failure 	NA	in silico	FEM	Disease mechanism (exp/theor)	Prediction of post-intervention outcomes	SVR evaluation	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Khalafvand S.S.	10.1002/cnm.2643	
192	Aneurysm	Cerebral	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	Aneurysm rupture	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Khan M.O.	10.1002/cnm.2836	
193	Arrhythmias	Arrhythmias, Cardiac	in silico	others (including analytical models, cell population dynamics etc.)	Disease therapy development	Treatment strategies evaluation	Atrial fibrillation suppression	Not relevant (e.g. in silico)	Predictive	Under development 	2014	Kharche S.R.	10.1093/europace/euu084	
194	Cardiomyopathies 	NA	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Arrhythmogenic right ventricular dysplasia iPSC study	Medium / Low (Lab scale)	Supportive	Under development 	2013	Kim C.	10.1038/nature11799	
195	Myocardia Ischemia	NA	in silico	FEM	Diagnosis of disease	Treatment strategies evaluation	Coronary stent therapy	Medium / Low (Lab scale)	Predictive	Optimisation	2014	Kim K.-H.	10.1016/j.jcin.2013.05.024	
196	Aneurysm	Aorta	in vitro with cells	2D culture 	Diagnosis of disease	Diagnosis of diseases	Aortic dissection	Medium / Low (Lab scale)	Predictive	Under validation	2017	Kimura N.	10.1093/ejcts/ezx095	
197	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Diagnosis of disease	Disease etiology and risk factors	Bicuspid aortic valve	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Kimura N.	10.1016/j.jtcvs.2016.12.033	
198	Cardiovascular Abnormalities including CCD 	NA	in vitro without cells	NA	Disease therapy development	Treatment strategies evaluation	Cardiac malformations	Not relevant (e.g. in silico)	Supportive	Under validation	2016	Kiraly L.	10.1093/icvts/ivv320	
199	Heart Valve Diseases 	Mitral Valve	in silico	FEM	Disease therapy development	Prosthesis effectiveness evaluation	Annuloplasty	Not relevant (e.g. in silico)	Predictive	Under development 	2018	Kong F.	10.1371/journal.pone.0198331	
200	Heart Valve Diseases 	Tricuspid Valve	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	TV dynamic characterisation	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Kong F.	10.1007/s10439-018-2024-8	
201	Myocardia Ischemia	NA	in silico	FEM	Diagnosis of disease	Disease mechanism and progression	Coronary artery stenosis 	Medium / Low (Lab scale)	Predictive	Under development 	2014	Kousera C.A.	10.1109/TBME.2014.2310954	
202	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease mechanism (exp/theor)	Prediction of device effects	Exercise in Fontan patients	Not relevant (e.g. in silico)	Supportive	Under development 	2015	Kung E.	10.1007/s10439-014-1131-4	
203	Cardiovascular Surgical and interventional Procedures	Cardiac Surgical Procedures	in vitro without cells	NA	Disease therapy development	Surgical and/or interventional planning	Planning of thoracic surgery	Medium / Low (Lab scale)	Supportive	Under development 	2015	Kurenov S.N.	10.1016/j.jtcvs.2014.12.059	
204	Myocardia Ischemia	NA	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease etiology and risk factors	Cell regrowth in coronary diseases	Medium / Low (Lab scale)	Supportive	Under validation	2018	Lai Z.	10.1016/j.biopha.2017.10.062	
205	Heart Valve Diseases 	Mitral Valve	in vitro without cells	NA	Disease therapy development	Surgical and/or interventional planning	Mitral valve regurgitation	Not relevant (e.g. in silico)	Supportive	Optimisation	2018	Laing J.	10.1117/1.JMI.5.2.021222	
206	Heart Failure 	NA	in silico	FEM	Diagnosis of disease	Treatment strategies evaluation	Lead position effect on cardiac resynchronisation	Not relevant (e.g. in silico)	Predictive	Under development 	2017	Lee A.W.C.	10.1111/jce.13134	
207	Aneurysm	Cerebral	in vitro without cells	NA	Disease therapy development	Device development	Aneurysm stent repair	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Lee C.-Y	10.1007/s00234-014-1378-3	
208	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Diagnosis of disease	Treatment strategies evaluation	Cardiac perfusion	Not relevant (e.g. in silico)	Supportive	Under development 	2016	Lee J.	10.1007/s10237-016-0782-5	
209	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease mechanism (exp/theor)	Treatment strategies evaluation	Cardiac growth and remodeling	Not relevant (e.g. in silico)	Predictive	Under development 	2016	Lee L.C.	10.1007/s10237-015-0723-8	
210	Arrhythmias	Arrhythmias, Cardiac	in silico	FEM	Disease therapy development	Disease mechanism and progression	Prediction of arrhythmia risk induced by drugs	Not relevant (e.g. in silico)	Predictive	Under development 	2016	Lee W.	10.1016/j.pbiomolbio.2015.12.005	
211	Cardiomyopathies 	NA	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Dilated Cardiomyopathy iPSC study	Medium / Low (Lab scale)	Supportive	Under development 	2017	Lee Y.-K.	10.1161/JAHA.117.005677	
212	Heart Valve Diseases 	Mitral Valve	in vitro without cells	NA	Disease therapy development	Surgical and/or interventional planning	TMVR simulator	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Leopaldi A.M.	10.1016/j.jtcvs.2017.09.011	
213	Occlusive Disease 	Carotid	in vitro without cells	NA	Disease mechanism (exp/theor)	Device effectiveness evaluation	Carotid restenosis	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Lettau M.	10.1016/j.neurad.2013.10.003	
214	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Device development	Left atrial appendage occlusion	Medium / Low (Lab scale)	Supportive	Optimisation	2017	Li H.	10.1016/j.ijcard.2017.01.031	
215	Cardiovascular Surgical and interventional Procedures	Reperfusion	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Myocardial ischemia/reperfusion injury	Medium / Low (Lab scale)	Predictive	Optimisation	2017	Li Q.	10.1159/000470806	
216	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro with cells	3D culture	Disease mechanism (exp/theor)	Device development	Coagulation abnormality	Medium / Low (Lab scale)	Supportive	Under development 	2019	Li Y.	10.1186/s12951-019-0458-2	
217	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Prediction of device effects	Fontan circulation	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Liang F.	10.1152/ajpheart.00245.2014	
218	Cardiomyopathies 	NA	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Study of cardiac drug-related cardiotoxicity response	Medium / Low (Lab scale)	Supportive	Under development 	2013	Liang P.	10.1161/CIRCULATIONAHA.113.001883	
219	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Surgical and/or interventional planning	Stroke	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Lich K.H.	10.1161/STROKEAHA.114.004694	
220	Cardiomyopathies 	NA	in vitro with cells	3D culture	Disease therapy development	Treatment strategies evaluation	Design of Cardiac microphysiological devices	Medium / Low (Lab scale)	Supportive	Under development 	2017	Lind J.U.	10.1038/nmat4782	
221	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Device development	Mitral Valve Intervention Repair	Medium / Low (Lab scale)	Supportive	Optimisation	2016	Little S.H.	10.1016/j.jcin.2016.02.027	
222	Cardiovascular Surgical and interventional Procedures	Reperfusion	ex vivo	NA	Disease mechanism (exp/theor)	Disease etiology and risk factors	Myocardial ischemia/reperfusion injury	Medium / Low (Lab scale)	Predictive	Under development 	2019	Liu H.	10.1111/jcmm.14163	
223	Arrhythmias	Arrhythmias, Cardiac	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	Delayed afterdepolarisations effects on arrhythmia trigger	Not relevant (e.g. in silico)	Unknown	Under development 	2015	Liu K.-S.	10.1016/j.hrthm.2015.06.019	
224	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Device development	Cerebral aneurysm	Medium / Low (Lab scale)	Supportive	Optimisation	2017	Liu M.B.	10.1038/srep44301	
225	Cardiovascular Abnormalities including CCD 	NA	in silico	FEM	Disease therapy development	Device effectiveness evaluation	Aortic arch replacement	Not relevant (e.g. in silico)	Supportive	Optimisation	2016	Liu Y.	10.1007/s10439-015-1345-0	
226	Arrhythmias	Arrhythmias, Cardiac	in silico	others (including analytical models, cell population dynamics etc.)	Disease therapy development	Treatment strategies evaluation	Drugs effects on atrial electrophysiology	Not relevant (e.g. in silico)	Unknown	Under development 	2014	Loewe A.	10.1093/europace/euu230	
227	Myocardia Ischemia	NA	in silico	others (including analytical models, cell population dynamics etc.)	Disease mechanism (exp/theor)	Diagnosis of diseases	Early myocardial ischemia	Medium / Low (Lab scale)	Supportive	Under validation	2015	Loewe A.	10.1155/2015/530352	
228	Heart Failure 	NA	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	Intraventricular pressure exstimation	Not relevant (e.g. in silico)	Supportive	Under validation	2018	Londono-Hoyos F.J.	10.1007/s11517-017-1704-0	
